Time,Heart Rate
09:34:03,70
09:34:13,69
09:34:18,65
09:34:23,66
09:34:28,68
09:34:38,69
09:34:48,70
09:34:53,71
09:35:03,72
09:35:08,73
09:35:13,72
09:35:23,73
09:35:28,74
09:35:33,75
09:35:38,76
09:35:43,77
09:35:58,77
09:36:03,76
09:36:08,77
09:36:18,77
09:36:23,78
09:36:33,82
09:38:24,70
09:38:34,70
09:38:44,72
09:38:49,77
09:38:59,76
09:39:04,75
09:39:09,77
09:39:14,78
09:39:29,78
09:40:44,70
09:40:54,70
09:40:59,74
09:41:04,76
09:41:14,75
09:41:29,75
09:41:34,76
12:02:49,70
12:02:59,69
12:03:04,70
12:03:09,74
12:03:14,77
12:03:19,78
12:03:34,78
12:03:39,79
12:03:44,80
12:03:59,80
12:04:14,80
12:04:24,78
12:04:34,77
12:04:44,78
12:04:49,80
12:05:04,80
12:05:09,79
12:05:14,78
12:05:19,79
12:05:29,80
12:05:44,80
12:05:49,78
12:05:54,77
12:06:04,80
12:06:10,80
12:06:25,75
12:06:30,74
12:06:40,75
12:06:50,76
12:06:55,77
12:07:05,78
12:07:15,77
12:07:20,78
12:07:35,78
12:07:40,78
12:07:55,79
12:08:00,80
12:08:05,81
12:08:10,80
12:08:15,79
12:08:25,78
12:08:30,77
12:08:40,77
12:08:45,78
12:08:50,77
12:09:05,77
12:09:15,78
12:09:25,79
12:09:30,80
12:09:35,82
12:09:40,84
12:09:47,87
12:09:52,88
12:09:57,87
12:10:02,88
12:10:07,90
12:10:12,95
12:10:17,97
12:10:22,98
12:10:27,96
12:10:42,95
12:10:47,93
12:10:57,91
12:11:07,90
12:11:12,88
12:11:17,87
12:11:22,88
12:11:27,89
12:11:37,88
12:11:42,87
12:11:47,86
12:11:52,85
12:11:57,84
12:12:02,83
12:12:07,82
12:12:22,83
12:12:27,84
12:12:32,87
12:12:37,88
12:12:52,86
12:12:57,85
12:13:02,86
12:13:07,87
12:13:12,86
12:13:22,85
12:13:32,84
12:13:37,84
12:13:47,85
12:13:52,86
12:13:57,90
12:14:07,88
12:14:12,87
12:14:17,84
12:14:27,86
12:14:32,87
12:14:42,89
12:14:47,92
12:14:52,95
12:14:57,95
12:15:02,93
12:15:07,92
12:15:17,93
12:15:22,94
12:15:27,93
12:15:37,91
12:15:44,91
12:15:49,93
12:15:54,111
12:15:59,124
12:16:04,127
12:16:09,129
12:16:19,130
12:16:24,134
12:16:29,139
12:16:34,144
12:16:39,147
12:16:49,149
12:16:54,154
12:16:59,158
12:17:04,160
12:17:14,164
12:17:19,169
12:17:24,170
12:17:29,169
12:17:34,165
12:17:39,164
12:17:49,167
12:18:04,167
12:18:10,163
12:18:20,167
12:18:25,166
12:18:30,168
12:18:35,165
12:18:40,162
12:18:45,161
12:18:50,160
12:18:55,161
12:19:05,158
12:19:10,157
12:19:15,152
12:19:20,149
12:19:25,151
12:19:30,153
12:19:35,150
12:19:40,153
12:19:45,154
12:19:50,155
12:19:55,158
12:20:00,162
12:20:05,161
12:20:20,159
12:20:25,157
12:20:30,154
12:20:35,150
12:20:40,145
12:20:45,139
12:20:50,133
12:20:55,126
12:21:00,119
12:21:05,111
12:21:10,104
12:21:15,96
12:21:20,90
12:21:25,88
12:21:30,86
12:21:35,82
12:21:50,82
12:21:55,80
12:22:00,82
12:22:05,89
12:22:10,93
12:22:15,97
12:22:20,100
12:22:25,103
12:22:30,106
12:22:35,105
12:22:40,104
12:22:45,102
12:22:50,101
12:23:00,102
12:23:10,101
12:23:20,100
12:23:25,99
12:23:30,98
12:23:45,97
12:23:50,98
12:24:05,98
12:24:15,99
12:24:20,100
12:24:25,100
12:24:40,100
12:24:45,104
12:24:55,102
12:25:00,100
12:25:05,99
12:25:10,96
12:25:25,97
12:25:30,96
12:25:40,97
12:25:45,96
12:25:50,97
12:26:05,97
12:26:20,98
12:26:25,98
12:26:30,97
12:26:45,97
12:27:00,98
12:27:05,96
12:27:10,98
12:27:15,100
12:27:20,101
12:27:25,102
12:27:30,101
12:27:40,99
12:27:50,99
12:28:00,98
12:28:10,98
12:28:15,99
12:28:20,100
12:28:25,104
12:28:30,106
12:28:35,106
12:28:40,107
12:28:45,108
12:29:00,108
12:29:05,109
12:29:10,110
12:29:15,111
12:29:20,112
12:29:25,109
12:29:30,108
12:29:35,109
12:29:40,112
12:29:45,116
12:29:50,126
12:29:55,138
12:30:00,139
12:30:17,139
12:30:27,141
12:30:32,145
12:30:37,151
12:30:42,152
12:30:52,150
12:31:02,149
12:31:07,147
12:31:12,146
12:31:22,144
12:31:27,138
12:31:32,137
12:31:37,135
14:06:38,70
14:06:48,76
14:06:53,88
14:06:58,91
14:07:03,93
14:07:18,91
14:07:33,93
14:07:38,92
14:07:43,98
14:07:58,98
14:08:08,97
14:08:13,97
14:08:18,96
14:08:33,96
14:08:43,97
14:08:53,99
14:08:58,102
14:09:03,109
14:09:08,108
14:09:13,106
14:09:18,105
14:09:33,106
14:09:38,107
14:09:43,111
14:09:48,113
14:09:53,114
14:09:58,114
14:10:03,115
14:10:08,117
14:10:18,118
14:10:23,117
14:10:28,115
14:10:33,112
14:10:38,112
14:10:48,113
14:10:58,116
14:11:03,115
14:11:08,117
14:11:18,114
14:11:23,116
14:11:28,115
14:11:33,112
14:11:38,110
14:11:43,111
14:11:53,114
14:11:58,116
14:12:03,119
14:12:18,119
14:12:23,125
14:12:38,125
14:12:43,127
14:12:50,129
14:12:55,135
14:13:00,133
14:13:05,129
14:13:10,125
14:13:15,121
14:13:20,120
14:13:35,120
14:13:40,112
14:13:45,113
14:13:50,120
14:13:55,120
14:14:00,117
14:14:05,119
14:14:10,120
14:14:15,121
14:14:20,119
14:14:30,118
14:14:35,117
14:14:50,117
14:14:55,116
14:15:00,112
14:15:05,106
14:15:10,105
14:15:25,105
14:15:30,108
14:15:37,108
14:15:42,110
14:15:47,114
14:15:52,119
14:16:02,121
14:16:07,123
14:16:12,118
14:16:22,120
14:16:27,119
14:16:32,117
14:16:37,123
14:16:42,126
14:16:47,121
14:16:52,119
14:16:57,120
14:17:02,114
14:17:07,113
14:17:12,114
14:17:17,113
14:17:22,110
14:17:32,111
14:17:37,112
14:17:42,114
14:17:47,113
14:17:57,112
14:18:02,108
14:18:07,110
14:18:12,118
14:18:17,119
14:18:22,116
14:18:27,116
14:18:37,111
14:18:47,112
14:18:52,114
14:18:57,116
14:19:02,117
14:19:07,116
14:19:12,115
14:19:17,112
14:19:22,109
14:19:27,108
14:19:32,105
14:19:42,106
14:19:47,109
14:19:52,110
14:19:57,112
14:20:02,114
14:20:12,108
14:20:17,107
14:20:22,107
14:20:27,108
14:20:37,107
14:20:42,110
14:20:47,111
14:20:55,110
14:21:00,109
14:21:05,104
14:21:10,103
14:21:15,108
14:21:25,103
14:21:30,102
14:21:35,102
14:21:40,100
14:21:45,99
14:21:50,100
14:22:00,99
14:22:05,101
14:22:10,104
14:22:15,106
14:22:20,107
14:22:30,106
14:22:40,108
14:22:45,112
14:23:00,113
14:23:05,111
14:23:15,110
14:23:25,109
14:23:30,105
14:23:45,105
14:23:55,107
14:24:03,107
14:24:08,106
14:24:13,104
14:24:18,103
14:24:23,101
14:24:28,99
14:24:33,93
14:24:38,91
14:24:53,90
14:25:03,89
14:25:08,87
14:25:18,88
14:25:23,92
14:25:28,94
14:25:38,97
14:25:43,98
14:25:48,99
14:25:53,100
14:25:58,99
14:26:13,99
14:26:23,97
14:26:33,96
14:26:38,95
14:26:48,94
14:26:58,97
14:27:03,102
14:27:08,103
14:27:13,103
14:27:18,105
14:27:23,107
14:27:28,110
14:27:38,109
14:27:53,114
14:27:58,117
14:28:08,116
14:28:18,122
14:28:33,122
14:28:38,123
14:28:43,124
14:28:48,126
14:28:53,127
14:28:58,128
14:29:08,127
14:29:13,124
14:29:18,121
14:29:23,118
14:29:28,116
14:29:38,114
14:29:43,113
14:29:48,115
14:29:58,117
14:30:03,119
14:30:08,121
14:30:13,123
14:30:18,124
14:30:23,127
14:30:28,128
14:30:33,129
14:30:38,130
14:30:48,131
14:31:03,131
14:31:08,129
14:31:13,127
14:31:18,125
14:31:23,127
14:31:28,131
14:31:33,129
14:31:38,127
14:31:43,125
14:31:48,121
14:31:53,119
14:31:58,115
14:32:03,111
14:32:08,114
14:32:13,116
14:32:23,115
14:32:28,114
14:32:33,113
14:32:38,112
14:32:43,111
14:32:49,111
14:32:59,113
14:33:14,117
14:33:19,116
14:33:24,115
14:33:39,115
14:33:44,115
14:33:49,114
14:33:54,115
14:33:59,109
14:34:04,108
14:34:09,110
14:34:14,118
14:34:19,117
14:34:24,116
14:34:29,114
14:34:34,111
14:34:39,111
14:34:44,112
14:34:49,111
14:34:59,118
14:35:04,121
14:35:09,118
14:35:14,117
14:35:24,115
14:35:29,113
14:35:34,109
14:35:39,108
14:35:54,108
14:36:09,107
14:36:24,107
14:36:34,109
14:36:39,108
14:36:44,104
14:36:54,108
14:36:59,110
14:37:14,108
14:37:19,106
14:37:24,109
14:37:29,113
14:37:34,114
14:37:39,113
14:37:44,112
14:37:49,109
14:37:54,102
14:37:59,94
14:38:04,91
14:38:19,91
14:38:29,90
14:38:44,86
14:38:59,90
14:39:04,99
14:39:09,101
14:39:14,105
14:39:19,111
14:39:24,112
14:39:29,111
14:39:34,113
14:39:39,116
14:39:44,117
14:39:49,115
14:39:54,113
14:39:59,112
14:40:09,111
14:40:19,112
14:40:24,115
14:40:29,116
14:40:39,118
14:40:44,117
14:40:54,116
14:40:59,117
14:41:04,111
14:41:09,108
14:41:14,106
14:41:19,105
14:41:34,107
14:41:39,112
14:41:49,114
14:41:59,116
14:42:04,120
14:42:09,119
14:42:14,121
14:42:19,122
14:42:29,121
14:42:34,119
14:42:39,121
14:42:44,123
14:42:49,123
14:42:54,118
14:42:59,114
14:43:04,112
14:43:09,111
14:43:14,112
14:43:19,113
14:43:34,113
14:43:39,114
14:43:44,113
14:43:49,112
14:43:54,111
14:43:59,110
14:44:04,108
14:44:09,106
14:44:24,105
14:44:29,103
14:44:34,105
14:44:39,106
14:44:44,107
14:44:49,108
14:44:54,109
14:44:59,110
14:45:04,109
14:45:09,104
14:45:14,103
14:45:19,101
14:45:24,102
14:45:29,104
14:45:44,104
14:45:49,103
14:45:54,104
14:45:59,103
14:46:04,104
14:46:09,102
14:46:19,99
14:46:24,100
14:46:29,102
14:46:34,101
14:46:39,101
14:46:49,103
14:46:59,102
14:47:09,105
14:47:14,109
14:47:19,110
14:47:24,107
14:47:29,104
14:47:39,106
14:47:44,109
14:47:59,109
14:48:04,108
14:48:14,109
14:48:24,108
14:48:39,108
14:48:44,106
14:48:49,105
14:48:54,105
14:48:59,106
14:49:09,108
14:49:14,107
14:49:19,107
14:49:24,108
14:49:29,110
14:49:44,110
14:49:54,111
14:50:04,115
14:50:09,110
14:50:14,105
14:50:29,105
14:50:34,100
14:50:39,99
14:50:45,98
14:50:50,94
14:50:55,92
14:51:00,91
14:51:10,90
14:51:15,92
14:51:20,94
14:51:35,95
14:51:50,95
14:52:00,94
14:52:05,95
14:52:15,100
14:52:20,104
14:52:25,110
14:52:30,113
14:52:35,112
14:52:45,111
14:52:50,109
14:52:55,105
14:53:00,106
14:53:05,108
14:53:10,107
14:53:15,107
14:53:20,106
14:53:25,104
14:53:35,100
14:53:40,98
14:53:45,97
14:54:00,99
14:54:05,100
14:54:20,100
14:54:35,100
14:54:50,100
14:54:55,101
14:55:00,102
14:55:05,104
14:55:15,106
14:55:20,107
14:55:25,106
14:55:35,105
14:55:40,104
14:55:45,102
14:55:50,101
14:55:55,100
14:56:00,98
14:56:05,99
14:56:10,103
14:56:15,102
14:56:25,106
14:56:35,107
14:56:40,108
14:56:45,105
14:56:50,103
14:56:55,106
14:57:00,109
14:57:05,109
14:57:20,110
14:57:25,109
14:57:35,110
14:57:45,106
14:57:50,108
14:58:00,112
14:58:05,111
14:58:15,113
14:58:20,112
14:58:25,111
14:58:30,110
14:58:35,108
14:58:40,107
14:58:50,106
14:58:55,102
14:59:00,99
14:59:05,98
14:59:10,100
14:59:25,97
14:59:30,94
14:59:35,97
14:59:50,95
14:59:55,93
15:00:10,94
15:00:15,96
15:00:20,98
15:00:25,97
15:00:40,98
15:00:45,95
15:00:50,92
15:00:55,93
15:01:00,94
15:01:05,95
15:01:15,97
15:01:20,101
15:01:25,102
15:01:30,103
15:01:35,102
15:01:40,101
15:01:45,100
15:01:55,101
15:02:00,102
15:02:10,103
15:02:15,99
15:02:20,95
15:02:35,94
15:02:40,91
15:02:45,90
15:02:50,89
15:03:00,90
15:03:05,89
15:03:10,88
15:03:15,88
15:03:20,87
15:03:25,89
15:03:35,87
15:03:50,87
15:03:55,86
15:04:05,80
15:04:10,83
15:04:15,88
15:04:20,87
15:04:35,87
15:04:40,84
15:04:45,84
15:05:00,84
15:05:05,87
15:05:10,86
15:05:20,87
15:05:25,88
15:05:40,88
15:05:55,88
15:06:00,89
15:06:10,88
15:06:25,88
15:06:40,88
15:06:45,89
15:07:00,89
15:07:01,87
15:07:16,88
15:07:21,89
15:07:26,90
15:07:31,89
15:07:46,88
15:07:51,86
15:07:56,83
15:08:11,83
15:08:16,85
15:08:21,86
15:08:26,87
15:08:41,87
15:08:46,88
15:08:51,90
15:08:56,91
15:09:01,92
15:09:06,94
15:09:11,91
15:09:16,81
15:09:21,79
15:09:26,80
15:09:41,81
15:09:46,82
15:09:51,81
15:09:56,83
15:10:01,87
15:10:06,88
15:10:16,89
15:10:21,90
15:10:26,88
15:10:31,87
15:10:36,88
15:10:46,89
15:10:56,88
15:11:11,89
15:11:16,88
15:11:21,87
15:11:31,89
15:11:41,88
15:11:56,89
15:12:11,89
15:12:16,88
15:12:31,87
15:12:41,86
15:12:56,84
15:13:01,83
15:13:06,79
15:13:11,79
15:13:16,81
15:13:26,80
15:13:36,81
15:13:46,81
15:13:51,82
15:13:56,83
15:14:01,84
15:14:06,85
15:14:11,86
15:14:21,84
15:14:26,82
15:14:31,83
15:14:36,82
15:14:41,83
15:14:46,84
15:14:51,85
