Time,Heart Rate
13:12:00,71
13:12:05,70
13:12:10,63
13:12:15,54
13:12:20,52
13:12:35,51
13:12:45,52
13:12:55,53
13:13:00,54
13:13:05,55
13:13:20,55
13:13:35,55
13:13:50,55
13:14:00,54
13:14:10,53
13:14:25,53
13:14:30,54
13:14:45,54
13:14:50,55
13:15:05,53
13:15:10,51
13:15:20,52
13:15:25,53
13:15:30,52
13:15:45,52
13:16:00,51
13:16:15,50
13:16:30,50
13:16:31,50
13:16:46,50
13:16:51,51
13:16:56,52
13:17:11,51
13:17:16,50
13:17:31,51
13:17:36,50
13:17:41,50
13:17:46,50
13:18:01,50
13:18:11,50
13:18:21,51
13:18:31,51
13:18:41,53
13:18:46,55
13:18:51,54
13:19:06,53
13:19:21,53
13:19:36,53
13:19:51,53
13:19:56,52
13:20:11,52
13:20:16,51
13:20:31,51
13:20:46,51
13:20:51,51
13:20:56,52
13:21:01,53
13:21:16,55
13:21:21,55
13:21:26,54
13:21:31,52
13:21:36,52
13:21:46,54
13:21:51,61
13:21:56,69
