Time,Heart Rate
15:03:09,70
15:03:24,70
15:03:34,77
15:03:39,81
15:03:44,83
15:03:49,82
15:03:59,81
15:04:04,82
15:04:14,84
15:04:19,86
15:04:24,87
15:04:29,90
15:04:34,92
15:04:44,91
15:04:49,90
15:04:59,89
15:05:04,88
15:05:19,88
15:05:29,86
15:05:34,85
15:05:49,88
15:05:54,92
15:05:59,95
15:06:04,97
15:06:09,96
15:06:14,95
15:06:19,94
15:06:24,94
15:06:29,94
15:06:34,93
15:06:39,92
15:06:44,93
15:06:49,92
15:06:54,94
15:06:59,95
15:07:04,95
15:07:09,93
15:07:14,92
15:07:24,93
15:07:29,94
15:07:39,94
15:07:44,95
15:07:49,96
15:07:54,96
15:07:59,97
15:08:04,97
15:08:09,96
15:08:14,95
15:08:19,94
15:08:34,94
15:08:39,85
15:08:44,81
15:08:49,80
15:08:56,80
15:09:11,80
15:09:16,78
15:09:21,77
15:09:26,76
15:09:41,76
15:09:51,77
15:09:56,78
15:10:06,79
15:10:16,81
15:10:21,83
15:10:26,84
15:10:31,80
15:10:46,80
15:10:51,78
15:10:56,79
15:11:01,81
15:11:06,80
15:11:11,71
15:11:16,73
15:11:21,81
15:11:26,82
15:11:33,82
15:11:38,83
15:11:48,81
15:11:53,80
15:12:03,81
15:12:08,80
15:12:13,72
15:12:18,71
15:12:23,73
15:12:28,75
15:12:33,84
15:12:38,85
15:12:48,74
15:12:53,72
15:13:03,69
15:13:08,66
15:13:18,67
15:13:23,68
15:13:28,69
15:13:33,72
15:13:38,76
15:13:43,77
15:13:48,77
15:13:53,78
15:13:58,79
15:14:03,77
15:14:18,77
15:14:23,78
15:14:28,77
15:14:43,78
15:14:53,78
15:14:58,77
15:15:03,79
15:15:08,81
15:15:18,80
15:15:23,81
15:15:33,82
15:15:38,83
15:15:53,82
15:15:58,83
15:16:03,84
15:16:13,85
15:16:28,86
15:16:33,80
15:16:38,79
15:16:48,80
15:16:53,81
15:16:58,77
15:17:03,79
15:17:08,77
15:17:13,74
15:17:18,74
15:17:23,74
15:17:28,70
15:17:33,68
15:17:48,76
15:17:53,79
15:18:03,78
15:18:08,80
15:18:13,81
15:18:18,80
15:18:28,76
15:18:33,76
15:18:38,77
15:18:43,79
15:18:53,76
15:18:58,78
15:19:03,79
15:19:13,78
15:19:18,76
15:19:23,77
15:19:28,74
15:19:33,73
15:19:38,75
15:19:43,76
15:19:48,77
15:19:53,78
15:19:58,79
15:20:07,80
15:20:22,81
15:20:32,82
15:20:37,88
15:20:42,91
15:20:57,91
15:21:02,89
15:21:12,87
15:21:17,86
15:21:22,82
15:21:27,80
15:21:32,80
15:21:47,80
