Time,Heart Rate
11:06:21,70
11:06:36,74
11:06:41,80
11:06:46,80
11:06:51,81
11:07:06,82
11:07:11,84
11:07:16,86
11:07:31,85
11:07:46,84
11:07:51,84
11:07:56,84
11:08:06,83
11:08:11,84
11:08:21,85
11:08:26,84
11:08:31,83
11:08:41,82
11:08:56,82
11:09:01,83
11:09:06,84
11:09:11,85
11:09:16,86
11:09:21,86
11:09:31,87
11:09:41,87
11:09:46,89
11:09:51,90
11:09:56,89
11:10:01,93
11:10:06,94
11:10:11,94
11:10:16,93
11:10:21,92
11:10:31,93
11:10:36,92
11:10:41,92
11:10:46,93
11:10:51,94
11:11:06,95
11:11:11,94
11:11:16,79
11:11:21,76
11:11:26,77
11:11:31,78
11:11:36,79
11:11:46,79
11:11:51,81
11:11:56,83
11:12:11,83
11:12:16,83
11:12:21,84
11:12:28,83
11:12:33,84
11:12:38,83
11:12:53,83
11:13:08,83
11:13:13,84
11:13:18,85
11:13:28,86
11:13:38,87
11:13:48,87
11:13:58,86
11:14:03,87
11:14:08,88
11:14:23,88
11:14:38,88
11:14:43,85
11:14:53,84
11:15:08,84
11:15:13,83
11:15:18,82
11:15:23,81
11:15:28,82
11:15:38,83
11:15:43,85
11:15:48,88
11:15:53,88
