Time,Heart Rate
15:03:06,70
15:03:25,70
15:03:47,70
15:04:02,84
15:04:07,88
15:04:12,96
15:04:17,116
15:04:22,117
15:04:27,117
15:04:32,118
15:04:37,116
15:04:42,115
15:04:52,113
15:05:02,117
15:05:07,121
15:05:12,120
15:05:17,120
15:05:22,121
15:05:27,123
15:05:32,123
15:05:37,126
15:05:42,127
15:05:52,128
15:05:57,127
15:06:02,125
15:06:07,125
15:06:12,124
15:06:17,123
15:06:27,122
15:06:32,125
15:06:37,129
15:06:42,130
15:06:47,130
15:06:52,128
15:06:57,127
15:07:07,128
15:07:12,127
15:07:17,125
15:07:27,127
15:07:32,130
15:07:37,131
15:07:42,132
15:07:52,130
15:07:57,128
15:08:02,124
15:08:07,123
15:08:22,123
15:08:32,126
15:08:37,123
15:08:42,126
15:08:47,124
15:08:53,125
15:08:58,122
15:09:03,120
15:09:08,122
15:09:13,127
15:09:18,128
15:09:28,127
15:09:33,129
15:09:43,128
15:09:48,129
15:09:53,128
15:09:58,126
15:10:03,125
15:10:18,125
15:10:33,124
15:10:38,125
15:10:43,124
15:10:48,123
15:10:53,121
15:11:03,120
15:11:08,119
15:11:13,117
15:11:18,118
15:11:23,120
15:11:28,123
15:11:34,124
15:11:44,125
15:11:54,124
15:11:59,123
15:12:09,125
15:12:19,122
15:12:24,117
15:12:39,118
15:12:44,119
15:12:49,122
15:12:54,123
15:13:09,123
15:13:14,122
15:13:19,119
15:13:29,122
15:13:34,123
15:13:39,120
15:13:49,126
15:13:54,125
15:13:59,122
15:14:04,118
15:14:09,115
15:14:14,115
15:14:19,116
15:14:24,117
15:14:29,120
15:14:34,124
15:14:39,123
15:14:44,122
15:14:49,123
15:14:54,129
15:14:59,131
15:15:04,126
15:15:09,125
15:15:19,124
15:15:29,125
15:15:34,129
15:15:39,130
15:15:49,128
15:15:59,132
15:16:04,136
15:16:09,138
15:16:14,140
15:16:24,140
15:16:29,136
15:16:34,133
15:16:39,136
15:16:44,138
15:16:49,139
15:16:54,138
15:17:09,138
15:17:24,136
15:17:30,135
15:17:40,136
15:17:50,137
15:17:55,136
15:18:00,134
15:18:15,133
15:18:20,127
15:18:30,126
15:18:35,127
15:18:50,128
15:18:55,129
15:19:00,128
15:19:10,129
15:19:15,128
15:19:30,129
15:19:40,128
15:19:45,126
15:19:50,127
15:19:55,128
15:20:00,129
15:20:05,128
15:20:10,127
15:20:15,126
15:20:25,127
15:20:30,128
15:20:35,129
15:20:40,128
15:20:45,130
15:20:50,131
15:20:55,133
15:21:05,131
15:21:10,129
15:21:15,128
15:21:20,129
15:21:30,126
15:21:35,128
15:21:40,129
15:21:45,127
15:21:50,124
15:21:55,120
15:22:00,121
15:22:05,119
15:22:15,125
15:22:20,130
15:22:25,133
15:22:30,135
15:22:35,136
15:22:40,133
15:22:45,120
15:22:50,123
15:22:55,124
15:23:00,125
15:23:05,127
15:23:11,128
15:23:16,129
15:23:31,127
15:23:36,126
15:23:41,127
15:23:51,130
15:23:56,131
15:24:11,130
15:24:16,131
15:24:26,129
15:24:41,127
15:24:46,128
15:24:56,123
15:25:06,124
15:25:11,126
15:25:16,128
15:25:26,127
15:25:31,128
15:25:36,129
15:25:41,132
15:25:46,133
15:25:51,134
15:26:01,135
15:26:11,134
15:26:16,127
15:26:21,124
15:26:26,126
15:26:31,125
15:26:41,126
15:26:56,124
15:27:06,125
15:27:21,126
15:27:26,128
15:27:31,126
15:27:41,128
15:27:56,127
15:28:11,129
15:28:16,128
15:28:21,126
15:28:26,128
15:28:31,126
15:28:36,125
15:28:51,125
15:28:56,126
15:29:01,125
15:29:06,123
15:29:11,121
15:29:16,120
15:29:31,120
15:29:41,126
15:29:46,131
15:29:51,130
15:30:01,129
15:30:06,128
15:30:12,128
15:30:22,126
15:30:27,128
15:30:37,127
15:30:42,129
15:30:47,130
15:30:52,129
15:30:57,128
15:31:02,127
15:31:07,126
15:31:17,127
15:31:22,125
15:31:27,126
15:31:32,127
15:31:42,123
15:31:47,122
15:31:52,121
15:31:57,119
15:32:02,118
15:32:07,120
15:32:12,122
15:32:17,123
15:32:22,125
15:32:27,126
15:32:32,130
15:32:37,132
15:32:42,133
15:32:47,132
15:32:52,131
15:33:07,130
15:33:12,129
15:33:17,128
15:33:22,129
15:33:27,127
15:33:32,121
15:33:37,119
15:33:42,118
15:33:47,119
15:33:52,122
15:33:57,124
15:34:02,128
15:34:07,134
15:34:12,131
15:34:17,122
15:34:22,119
15:34:27,121
15:34:37,130
15:34:42,131
15:34:52,132
15:35:02,131
15:35:07,129
15:35:12,126
15:35:17,126
15:35:32,127
15:35:37,124
15:35:42,125
15:35:47,128
15:35:52,129
15:36:07,128
15:36:12,127
15:36:17,129
15:36:22,126
15:36:27,125
15:36:32,126
15:36:37,122
15:36:42,107
15:36:47,106
15:36:52,110
15:36:57,113
15:37:02,110
15:37:07,108
15:37:17,109
15:37:22,105
15:37:27,106
15:37:32,110
15:37:37,114
15:37:42,113
15:37:47,112
15:37:53,112
15:37:58,113
15:38:03,111
15:38:13,110
15:38:23,111
15:38:28,109
15:38:33,108
15:38:38,107
15:38:43,109
15:38:48,110
15:38:58,111
15:39:08,109
