Time,Heart Rate
17:21:12,75
17:21:17,76
17:21:27,77
17:21:37,80
17:21:42,82
17:21:57,82
17:22:02,86
17:22:07,87
17:22:12,86
17:22:17,85
17:22:22,86
17:22:37,86
17:22:42,83
17:22:47,83
17:22:52,70
17:22:57,69
17:23:07,71
17:23:13,72
17:23:18,71
17:23:23,70
17:23:33,71
17:23:43,73
17:23:48,75
17:23:53,77
17:23:58,79
17:24:13,80
17:24:18,81
17:24:23,81
17:24:38,81
17:24:53,81
17:24:58,82
17:25:03,81
17:25:13,80
17:25:28,79
17:25:38,80
17:25:43,82
17:25:53,84
17:25:58,85
17:26:03,83
17:26:08,82
17:26:13,83
17:26:23,84
17:26:33,85
17:26:48,85
17:26:53,85
17:27:08,85
17:27:13,87
17:27:18,88
17:27:33,87
17:27:38,88
17:27:43,89
17:27:48,91
17:27:53,92
17:27:58,93
17:28:08,92
17:28:13,94
17:28:18,97
17:28:28,98
17:28:43,98
17:28:53,98
17:28:58,99
17:29:08,99
17:29:13,99
17:29:18,98
17:29:23,95
17:29:28,94
17:29:33,93
17:29:38,92
17:29:43,91
17:29:48,92
17:29:53,95
17:29:58,98
17:30:03,99
17:30:08,98
17:30:13,100
17:30:18,102
17:30:33,102
17:30:38,101
17:30:48,100
17:30:53,97
17:30:58,96
