Time,Heart Rate
11:15:02,110
11:15:07,105
11:15:12,108
11:15:18,109
11:15:23,112
11:15:28,117
11:15:33,116
11:15:38,113
11:15:43,112
11:15:58,112
11:16:03,113
11:16:18,111
11:16:23,108
11:16:28,107
11:16:33,109
11:16:43,105
11:16:48,101
11:17:03,100
11:17:13,99
11:17:18,97
11:17:33,97
11:17:48,96
11:17:53,95
11:18:08,95
11:18:13,96
11:18:23,96
11:18:38,95
11:18:43,96
11:18:48,97
11:18:58,96
11:19:03,95
11:19:08,96
11:19:13,99
11:19:18,105
11:19:23,106
11:19:38,101
11:19:43,99
11:19:48,100
11:19:53,96
11:19:58,95
11:20:08,96
11:20:13,99
11:20:18,100
11:20:28,98
11:20:33,99
11:20:38,100
11:20:43,101
11:20:53,102
11:20:58,99
11:21:03,96
11:21:08,94
11:21:23,94
11:21:28,97
11:21:33,99
11:21:38,100
11:21:43,98
11:21:49,95
11:21:54,93
11:21:59,94
11:22:04,93
11:22:14,91
11:22:19,90
11:22:24,91
11:22:34,94
11:22:39,95
11:22:49,94
11:22:59,93
11:23:04,91
11:23:09,89
11:23:14,87
11:23:24,88
11:23:29,89
11:23:39,90
11:23:44,93
11:23:54,96
11:23:59,96
11:24:04,94
11:24:09,96
11:24:14,95
11:24:19,98
11:24:24,98
11:24:29,97
11:24:34,96
11:24:39,96
11:24:54,96
11:24:59,99
11:25:04,107
11:25:09,109
11:25:14,108
11:25:19,107
11:25:24,107
11:25:29,106
11:25:34,103
11:25:39,105
11:25:54,108
11:25:59,111
11:26:04,113
11:26:09,115
11:26:14,112
11:26:19,107
11:26:29,105
11:26:34,101
11:26:39,96
11:26:44,93
11:26:49,95
11:26:54,97
11:26:59,94
11:27:04,92
11:27:09,94
11:27:15,94
11:27:20,96
11:27:25,95
11:27:30,98
11:27:35,101
11:27:40,103
11:27:45,107
11:27:50,108
11:27:55,107
11:28:00,108
11:28:15,105
11:28:20,99
11:28:25,95
11:28:35,96
11:28:45,97
11:28:50,96
11:28:55,97
11:29:10,96
11:29:15,97
11:29:20,98
11:29:25,97
11:29:40,100
11:29:45,108
11:29:50,111
11:29:55,112
11:30:00,115
11:30:05,116
11:30:20,116
11:30:25,117
11:30:30,118
11:30:35,117
11:30:40,119
11:30:45,121
11:30:50,120
11:31:00,119
11:31:05,117
11:31:10,112
11:31:15,110
11:31:20,106
11:31:25,102
11:31:30,100
11:31:40,99
11:31:45,100
11:32:00,100
11:32:05,102
11:32:15,103
11:32:20,109
11:32:30,111
11:32:35,113
11:32:40,115
11:32:45,116
11:32:50,117
11:32:56,120
11:33:01,122
11:33:11,123
11:33:16,128
11:33:21,134
11:33:26,133
11:33:31,132
11:33:36,130
11:33:41,128
11:33:46,125
11:33:51,119
11:33:56,116
11:34:11,115
11:34:21,116
11:34:36,117
11:34:46,119
11:34:51,121
11:34:56,122
