Time,Heart Rate
17:19:03,81
17:19:08,82
17:19:23,82
17:19:33,83
17:19:38,85
17:19:53,84
17:19:58,86
17:20:03,85
17:20:08,84
17:20:13,83
17:20:18,81
17:20:23,77
17:20:28,78
17:20:33,79
17:20:38,80
17:20:48,77
17:20:53,73
17:20:58,74
17:21:03,76
17:21:08,77
17:21:23,77
17:21:28,77
17:21:33,78
17:21:43,79
17:21:53,79
17:22:08,81
17:22:13,83
17:22:28,79
17:22:33,79
17:22:48,80
17:22:53,83
17:22:58,84
17:23:03,84
17:23:13,79
17:23:18,79
17:23:33,81
17:23:48,81
17:23:58,82
17:24:08,83
17:24:13,82
17:24:18,83
17:24:23,83
17:24:28,89
17:24:33,90
17:24:38,89
17:24:43,88
17:24:48,85
17:24:53,83
17:25:03,82
17:25:08,81
17:25:13,76
17:25:18,74
17:25:28,75
17:25:33,75
17:25:48,77
17:25:53,78
17:25:58,78
17:26:08,79
17:26:13,78
17:26:18,77
17:26:23,76
17:26:38,76
17:26:53,76
17:26:58,75
17:27:03,73
17:27:13,74
17:27:18,76
17:27:23,77
17:27:38,77
17:27:43,77
17:27:58,77
17:28:13,77
17:28:28,77
17:28:43,77
17:28:58,77
