Time,Heart Rate
17:10:04,79
17:10:09,83
17:10:14,85
17:10:19,85
17:10:34,85
17:10:44,86
17:10:59,86
17:11:09,85
17:11:14,84
17:11:19,83
17:11:29,79
17:11:34,76
17:11:44,77
17:11:59,76
17:12:14,76
17:12:19,72
17:12:24,69
17:12:29,74
17:12:34,76
17:12:39,77
17:12:54,77
17:13:09,78
17:13:19,79
17:13:29,78
17:13:39,80
17:13:54,79
17:14:09,80
17:14:19,79
17:14:34,80
17:14:39,81
17:14:44,81
17:14:49,82
17:14:59,83
17:15:14,83
17:15:19,77
17:15:24,78
17:15:29,80
17:15:39,81
17:15:44,82
17:15:59,83
17:16:14,83
17:16:24,84
17:16:34,81
17:16:49,81
17:16:54,80
17:16:59,80
17:17:09,81
17:17:24,81
17:17:34,82
17:17:49,83
17:18:04,84
17:18:14,82
17:18:19,81
17:18:34,81
17:18:39,82
17:18:54,82
17:18:59,78
17:19:05,79
17:19:10,81
17:19:15,82
17:19:30,82
17:19:40,83
17:19:50,84
17:19:55,85
