Time,Heart Rate
14:23:02,71
14:23:12,72
14:23:17,73
14:23:27,74
14:23:32,73
14:23:42,75
14:23:47,76
14:23:52,77
14:23:57,76
14:24:02,77
14:24:12,76
14:24:17,75
14:24:27,76
14:24:32,77
14:24:37,78
14:24:47,79
14:24:52,78
14:24:57,79
14:25:07,78
14:25:12,77
14:25:17,75
14:25:22,74
14:25:37,74
14:25:42,75
14:25:47,74
14:25:52,72
14:25:57,70
14:26:12,71
14:26:17,72
14:26:22,71
14:26:27,69
14:26:32,68
14:26:37,67
14:26:47,68
14:26:52,70
14:26:57,71
14:27:02,73
14:27:07,74
14:27:12,75
14:27:17,75
14:27:27,76
14:27:32,75
14:27:37,78
14:27:42,79
14:27:52,80
14:27:57,99
14:28:02,106
14:28:07,108
14:28:12,107
14:28:17,105
14:28:22,102
14:28:27,95
14:28:32,93
14:28:37,87
14:28:42,85
14:28:52,79
14:28:57,77
14:29:02,67
14:29:07,66
14:29:12,64
14:29:22,65
14:29:27,64
14:29:32,65
14:29:42,66
14:29:52,67
14:30:02,68
14:30:12,69
14:30:17,67
14:30:22,66
14:30:27,68
14:30:42,69
14:30:47,70
14:30:52,71
14:30:57,72
14:31:02,73
14:31:07,71
14:31:12,68
14:31:22,67
14:31:27,67
14:31:32,68
14:31:37,73
14:31:42,75
14:31:57,74
14:32:02,71
14:32:17,70
14:32:22,71
14:32:27,74
14:32:32,75
14:32:37,74
14:32:42,72
14:32:47,68
14:32:52,66
14:32:57,66
