Time,Heart Rate
9:50:44,70
9:50:49,70
9:51:04,71
9:51:09,70
9:51:14,74
9:51:19,76
9:51:29,77
9:51:34,78
9:51:49,79
9:51:54,81
9:52:09,82
9:52:14,82
9:52:24,83
9:52:34,81
9:52:39,80
9:52:44,78
9:52:49,77
9:52:54,76
9:52:59,77
9:53:04,78
9:53:09,79
9:53:14,83
9:53:19,91
9:53:24,97
9:53:29,101
9:53:34,103
9:53:39,104
9:53:44,105
9:53:49,105
9:53:54,106
9:53:59,107
9:54:04,106
9:54:09,104
9:54:14,106
9:54:19,107
9:54:24,105
9:54:29,101
9:54:34,100
9:54:39,104
9:54:44,105
9:54:49,104
9:54:54,106
9:54:59,105
9:55:04,106
9:55:09,105
9:55:19,101
9:55:24,99
9:55:29,98
9:55:34,97
9:55:39,98
9:55:44,99
9:55:49,102
9:55:59,101
9:56:06,98
9:56:21,97
9:56:26,98
9:56:31,100
9:56:36,101
9:56:41,100
9:56:46,103
9:56:51,104
9:56:56,106
9:57:01,108
9:57:06,109
9:57:11,108
9:57:16,106
9:57:21,100
9:57:26,98
9:57:31,99
9:57:41,101
9:57:46,106
9:57:51,110
9:57:56,113
9:58:01,114
9:58:06,113
9:58:11,114
9:58:16,112
9:58:26,114
9:58:31,116
9:58:36,114
9:58:41,112
9:58:46,108
9:58:51,105
9:58:56,106
9:59:06,103
9:59:11,98
9:59:16,99
9:59:21,98
9:59:26,99
9:59:31,98
9:59:36,96
9:59:51,96
9:59:56,98
10:00:01,102
10:00:06,108
10:00:11,108
10:00:16,106
10:00:21,105
10:00:26,104
10:00:31,103
10:00:36,101
