Time,Heart Rate
16:34:02,112
16:34:07,117
16:34:12,115
16:34:17,111
16:34:22,108
16:34:27,105
16:34:32,99
16:34:47,99
16:34:52,100
16:35:07,100
16:35:12,97
16:35:17,99
16:35:22,98
16:35:27,95
16:35:37,100
16:35:42,104
16:35:47,107
16:35:57,105
16:36:02,101
16:36:10,101
16:36:15,101
16:36:25,100
16:36:30,98
16:36:35,96
16:36:50,98
16:36:55,100
16:37:00,101
16:37:05,104
16:37:10,101
16:37:15,99
16:37:20,102
16:37:30,97
16:37:35,95
16:37:45,96
16:37:50,97
16:37:55,96
16:38:00,95
16:38:05,96
16:38:10,95
16:38:15,94
16:38:25,96
16:38:30,97
16:38:35,96
16:38:45,95
16:39:00,95
16:39:15,95
16:39:20,95
16:39:30,94
16:39:35,90
16:39:40,86
16:39:50,86
16:39:55,85
16:40:00,83
16:40:05,83
16:40:10,82
16:40:15,85
16:40:30,86
16:40:35,85
16:40:50,85
16:41:00,86
16:41:05,85
16:41:10,84
16:41:15,83
16:41:25,82
16:41:35,81
16:41:40,80
16:41:55,80
16:42:00,82
16:42:10,83
16:42:20,82
16:42:35,82
16:42:40,81
16:42:55,82
16:43:00,83
16:43:15,83
16:43:25,85
16:43:30,87
16:43:35,88
16:43:40,87
16:43:50,88
