Time,Heart Rate
12:38:11,82
12:38:21,81
12:38:36,82
12:38:41,81
12:38:46,82
12:38:51,81
12:38:56,79
12:39:06,81
12:39:11,82
12:39:16,83
12:39:21,83
12:39:26,79
12:39:31,77
12:39:46,77
12:40:01,77
12:40:06,78
12:40:11,80
12:40:16,82
12:40:21,79
12:40:26,77
12:40:36,78
12:40:51,78
12:40:56,77
12:41:01,75
12:41:16,76
12:41:21,75
12:41:36,78
12:41:41,76
12:41:46,74
12:41:56,74
12:42:06,75
12:42:11,74
12:42:26,74
12:42:36,73
12:42:46,74
12:43:01,73
12:43:06,71
12:43:11,73
12:43:16,75
12:43:21,76
12:43:31,74
12:43:36,73
12:43:51,74
12:44:06,74
12:44:16,75
12:44:26,74
12:44:41,74
12:44:46,75
12:44:51,75
12:44:56,76
12:45:11,76
12:45:21,73
12:45:26,73
12:45:41,73
12:45:46,75
12:45:56,74
12:46:06,75
12:46:11,74
12:46:16,73
12:46:21,72
12:46:31,74
12:46:41,75
12:46:56,75
12:47:11,76
12:47:16,75
12:47:31,75
12:47:36,76
12:47:46,75
12:47:51,75
