Time, Heart Rate
09:36:01,93
09:36:06,83
09:36:11,79
09:36:16,78
09:36:31,78
09:36:41,79
09:36:46,83
09:36:51,84
09:36:56,84
09:37:01,83
09:37:06,84
09:37:11,87
09:37:16,89
09:37:26,97
09:37:31,92
09:37:39,77
09:37:44,76
09:37:59,78
09:38:04,80
09:38:09,81
09:38:14,82
09:38:19,85
09:38:24,89
09:38:34,90
09:38:39,94
09:38:44,97
09:38:49,98
09:38:54,97
09:38:59,98
09:39:09,102
09:39:14,103
09:39:24,100
09:39:34,101
09:39:39,104
09:39:44,103
09:39:49,104
09:39:54,105
09:40:09,105
09:40:14,102
09:40:29,102
09:40:44,102
09:40:45,101
09:40:50,88
09:41:05,88
09:41:20,86
09:41:30,84
09:41:35,75
09:41:40,74
09:41:45,74
09:42:00,74
09:42:10,73
09:42:20,72
09:42:25,73
09:42:30,75
09:42:35,75
09:42:40,75
09:42:55,75
09:43:00,75
09:43:10,76
09:43:15,77
09:43:20,78
09:43:25,76
09:43:40,76
09:43:55,77
09:44:00,76
09:44:05,75
09:44:10,75
09:44:25,75
09:44:40,75
09:44:55,75
09:45:05,76
09:45:10,77
09:45:15,78
09:45:25,80
09:45:30,81
09:45:35,83
09:45:40,82
09:45:45,83
09:45:50,84
09:45:55,85
