Time,Heart Rate
16:33:04,92
16:33:09,93
16:33:14,92
16:33:19,92
16:33:24,91
16:33:29,89
16:33:44,90
16:33:59,90
16:34:04,92
16:34:19,92
16:34:24,91
16:34:29,89
16:34:34,88
16:34:49,88
16:35:04,88
16:35:09,89
16:35:19,88
16:35:24,87
16:35:29,87
16:35:44,87
16:35:54,88
16:35:59,90
16:36:04,91
16:36:09,90
16:36:19,91
16:36:24,92
16:36:39,92
16:36:44,91
16:36:59,90
16:37:14,90
16:37:24,92
16:37:34,93
16:37:39,93
16:37:54,92
16:38:09,92
16:38:14,91
16:38:24,90
16:38:34,89
16:38:39,88
16:38:49,89
16:39:04,89
16:39:09,91
16:39:14,92
16:39:19,93
16:39:34,93
16:39:39,92
16:39:44,91
16:39:54,90
16:39:59,89
16:40:04,89
16:40:19,89
16:40:34,89
16:40:49,89
16:40:54,88
16:40:59,87
16:41:09,86
16:41:24,86
16:41:34,87
16:41:49,87
16:41:50,87
16:42:00,88
16:42:05,87
16:42:20,87
16:42:25,88
16:42:40,88
16:42:55,88
