Time,Heart Rate
16:43:04,93
16:43:19,94
16:43:34,92
16:43:39,92
16:43:44,93
16:43:49,94
16:43:54,94
16:44:09,94
16:44:15,92
16:44:25,91
16:44:30,91
16:44:40,93
16:44:55,93
16:45:00,95
16:45:05,96
16:45:15,95
16:45:20,94
16:45:35,94
16:45:40,93
16:45:55,94
16:46:00,97
16:46:05,98
16:46:10,97
16:46:20,96
16:46:25,95
16:46:30,94
16:46:35,96
16:46:50,97
16:47:00,98
16:47:10,97
16:47:20,97
16:47:25,96
16:47:40,95
16:47:45,94
16:47:50,93
16:47:55,94
16:48:00,95
16:48:05,96
16:48:10,96
16:48:15,96
16:48:30,95
16:48:40,94
16:48:45,92
16:49:00,91
16:49:05,89
16:49:10,88
16:49:25,88
16:49:30,87
16:49:40,86
16:49:45,85
16:50:00,85
16:50:05,84
16:50:20,84
16:50:25,86
16:50:30,87
16:50:35,86
16:50:45,87
16:50:55,86
16:51:10,86
16:51:15,86
16:51:20,87
16:51:25,88
16:51:30,88
16:51:45,89
16:52:00,90
16:52:05,89
16:52:15,90
16:52:30,100
16:52:35,102
16:52:45,101
16:52:50,107
16:52:55,111
16:53:00,112
