Time,Heart Rate
13:45:09,86
13:45:14,85
13:45:19,84
13:45:24,85
13:45:29,82
13:45:35,78
13:45:50,78
13:45:55,78
13:46:00,80
13:46:05,81
13:46:15,82
13:46:20,83
13:46:25,84
13:46:30,79
13:46:35,77
13:46:45,76
13:46:50,77
13:46:55,79
13:47:10,79
13:48:35,84
13:48:45,83
13:48:55,84
13:49:00,85
13:49:05,83
13:49:10,85
13:49:15,88
13:49:25,85
13:49:35,84
13:49:40,83
13:49:45,84
13:50:00,85
13:50:05,83
13:50:10,80
13:50:15,78
13:50:20,79
13:50:25,80
13:50:30,81
13:50:45,82
13:50:55,81
13:51:05,82
13:51:10,83
13:51:20,82
13:51:25,84
13:51:35,80
13:51:40,79
13:51:45,78
13:51:50,78
13:51:55,80
13:52:00,80
13:52:15,80
13:52:25,81
13:52:40,82
13:52:45,83
13:52:50,84
13:53:05,86
13:53:10,84
13:53:15,85
13:53:25,84
13:53:35,83
13:53:40,82
13:53:50,83
13:53:55,84
13:54:00,86
13:54:05,85
13:54:15,84
13:54:25,83
13:54:30,82
13:54:35,81
13:54:40,79
13:54:45,78
13:54:50,76
13:54:55,75
13:55:00,77
