Time,Heart Rate
17:47:04,87
17:47:09,85
17:47:14,83
17:47:19,82
17:47:24,83
17:47:34,84
17:47:44,83
17:47:49,84
17:47:59,84
17:48:04,85
17:48:09,86
17:48:14,83
17:48:19,81
17:48:29,80
17:48:34,78
17:48:39,78
17:48:44,77
17:48:49,78
17:49:04,79
17:49:09,83
17:49:14,84
17:49:24,83
17:49:39,83
17:49:54,83
17:50:09,83
17:50:19,85
17:50:24,87
17:50:39,87
17:50:54,87
17:51:04,86
17:51:19,86
17:51:34,86
17:51:44,85
17:51:54,84
17:52:04,85
17:52:19,85
17:52:24,84
17:52:39,83
17:52:44,82
17:52:59,82
17:53:04,85
17:53:09,87
17:53:14,84
17:53:29,84
17:53:34,84
17:53:44,85
17:53:54,84
17:53:59,84
17:54:14,84
