Time,Heart Rate
15:12:48,70
15:13:03,77
15:13:08,86
15:13:13,89
15:13:18,90
15:13:33,89
15:13:48,86
15:13:53,84
15:13:58,86
15:14:08,88
15:14:23,89
15:14:28,90
15:14:33,90
15:14:38,91
15:14:43,92
15:14:48,91
15:14:53,92
15:15:08,92
15:15:23,92
15:15:33,92
15:15:48,92
15:15:53,90
15:15:58,91
15:16:03,90
15:16:09,90
15:16:14,90
15:16:19,91
15:16:29,92
15:16:34,91
15:16:44,92
15:16:54,91
15:16:59,90
15:17:14,90
15:17:19,90
15:17:24,91
15:17:39,90
15:17:54,90
15:18:04,89
15:18:14,88
15:18:19,88
15:18:29,89
15:18:34,92
15:18:39,97
15:18:44,100
15:18:49,104
15:18:54,108
15:18:59,109
15:19:04,112
15:19:09,116
15:19:14,120
15:19:21,131
15:19:26,138
15:19:31,139
15:19:41,138
15:19:46,136
15:19:51,137
15:19:56,138
15:20:06,137
15:20:11,135
15:20:16,133
15:20:21,134
15:20:26,136
15:20:31,137
15:20:36,138
15:20:41,136
15:20:51,138
15:20:56,135
15:21:01,133
15:21:06,131
15:21:16,130
15:21:31,128
15:21:36,125
15:21:51,125
15:22:06,124
15:22:21,126
15:22:26,125
15:22:41,126
15:22:46,127
15:22:51,128
15:22:56,124
15:23:06,127
15:23:11,128
15:23:21,130
15:23:26,131
15:23:31,132
15:23:41,131
15:23:46,129
15:23:51,128
15:23:56,126
15:24:01,123
15:24:06,121
15:24:11,120
15:24:26,120
15:24:41,119
15:25:57,124
15:26:02,123
15:26:17,123
15:26:32,124
15:26:47,124
15:27:02,124
15:27:07,123
15:27:12,121
15:27:22,122
15:27:27,123
15:27:32,124
15:27:37,126
15:27:42,123
15:27:47,120
15:27:52,118
15:28:02,116
15:28:07,115
15:28:17,116
15:28:22,117
15:28:27,116
15:28:32,114
15:28:37,115
15:28:47,116
15:28:57,117
15:29:02,118
15:29:07,119
15:29:12,118
15:29:17,114
15:29:22,110
15:29:27,107
15:29:32,106
15:29:37,107
15:29:47,108
15:29:52,104
15:29:57,100
15:30:07,100
15:30:12,101
15:30:17,103
15:30:22,105
15:30:27,106
15:30:32,107
15:30:37,108
15:30:42,120
15:30:47,128
15:30:57,127
15:31:12,127
15:31:27,127
15:31:32,129
15:31:37,130
15:31:47,129
15:31:52,126
15:31:57,121
15:32:03,117
15:32:08,112
15:32:13,110
15:32:18,109
15:32:23,108
15:32:28,110
15:32:43,110
15:32:48,111
15:32:53,109
15:32:58,111
15:33:03,112
15:33:08,110
15:33:13,108
15:33:18,109
15:33:33,108
15:33:38,107
15:33:53,107
15:34:08,107
15:34:23,106
15:34:38,105
15:34:43,103
15:34:58,103
15:35:03,102
15:35:18,101
15:35:33,101
15:35:38,102
15:35:48,104
15:35:53,105
15:35:58,104
15:36:08,105
15:36:13,108
15:36:18,109
15:36:23,108
15:36:28,110
15:36:33,112
15:36:38,111
15:36:48,118
15:36:53,124
15:36:58,125
15:37:03,124
15:37:13,122
15:37:18,124
15:37:23,121
15:37:28,116
15:37:33,111
15:37:38,109
15:37:48,108
15:37:53,107
15:37:58,106
15:38:03,105
15:38:18,105
15:38:23,106
15:38:28,105
15:38:38,104
15:38:44,102
15:38:49,101
15:38:59,102
15:39:14,102
15:39:29,101
15:39:34,99
15:39:39,101
15:39:44,102
15:39:49,103
15:39:59,105
15:40:04,102
15:40:09,99
15:40:24,100
15:40:29,97
15:40:39,100
15:40:44,101
15:40:49,102
15:41:04,103
15:41:14,107
15:41:19,106
15:41:24,102
15:41:29,101
15:41:44,101
15:41:59,103
15:42:14,103
15:42:29,103
15:42:39,105
15:42:44,106
15:42:54,107
15:43:09,106
15:43:14,105
15:43:19,104
15:43:34,104
15:43:39,104
15:43:44,100
15:43:49,96
15:43:54,95
15:44:09,95
15:44:24,97
15:44:34,95
15:44:39,93
15:44:44,94
15:44:49,96
15:44:54,97
15:44:59,96
15:45:04,95
15:45:09,92
15:45:14,91
15:45:19,90
15:45:24,88
15:45:29,87
15:45:34,85
15:45:39,83
15:45:45,83
15:45:50,84
15:45:55,85
15:46:00,85
15:46:05,86
15:46:10,88
15:46:15,89
15:46:30,89
15:46:35,90
15:46:45,91
15:46:50,90
15:47:05,90
15:47:10,92
15:47:15,92
15:47:30,92
15:47:45,93
15:47:50,94
15:47:55,95
15:48:00,97
15:48:05,98
15:48:20,98
15:48:35,96
15:48:40,94
15:48:45,95
15:48:50,99
15:48:55,100
15:49:00,102
15:49:05,102
15:49:15,103
15:49:20,103
15:49:30,105
15:49:35,108
15:49:40,113
15:49:45,119
15:49:50,118
15:49:55,116
15:50:05,115
15:50:10,113
15:50:15,112
15:50:20,111
15:50:25,110
15:50:30,110
15:50:45,110
15:50:50,109
15:50:55,108
15:51:10,108
15:51:25,108
15:52:37,103
15:52:42,104
15:52:47,105
15:52:52,104
15:53:07,105
15:53:22,104
15:53:37,104
15:53:52,104
15:53:57,103
15:54:12,103
15:54:17,102
15:54:22,97
15:54:27,94
15:54:32,90
15:54:37,83
15:54:42,81
15:54:57,81
15:55:02,80
15:55:07,78
15:55:12,82
15:55:17,84
15:55:22,85
15:55:27,87
15:55:37,89
15:55:42,89
15:55:52,87
15:55:57,84
15:56:02,84
15:56:07,85
15:56:12,84
15:56:27,83
15:56:32,82
15:56:37,83
15:56:42,83
15:56:47,85
15:56:52,86
15:56:57,86
15:57:02,85
15:57:17,86
15:57:27,88
15:57:32,92
15:57:37,91
15:57:47,90
15:58:02,90
15:58:12,89
15:58:17,87
15:58:22,85
15:58:37,85
15:58:42,86
15:58:47,87
15:58:57,88
15:59:07,89
15:59:12,90
15:59:22,91
15:59:27,91
15:59:32,91
15:59:47,92
15:59:52,93
16:00:02,92
16:00:07,91
16:00:12,92
16:00:17,90
16:00:22,90
16:00:37,89
16:00:47,88
16:01:02,87
16:01:12,86
16:01:27,86
16:01:37,83
16:01:42,82
16:01:47,84
16:01:52,94
16:01:57,96
16:02:02,94
16:02:07,93
16:02:22,93
16:02:27,92
16:02:32,93
16:02:37,94
16:02:42,94
16:02:47,93
16:02:57,94
16:03:02,95
16:03:12,94
16:03:17,93
16:03:22,93
16:03:27,94
16:03:32,92
16:03:47,92
16:03:52,94
16:03:57,95
16:04:12,95
16:04:17,97
16:04:22,95
16:04:32,94
16:04:47,94
16:05:02,94
16:05:07,95
16:05:22,95
16:05:37,94
16:05:42,94
16:05:47,95
16:05:52,94
16:05:57,94
16:06:07,93
16:06:13,93
16:06:18,95
16:06:33,93
16:06:43,92
16:06:58,93
16:07:13,93
16:07:28,93
16:07:33,93
16:07:38,92
16:07:43,91
16:07:53,90
16:07:58,91
16:08:03,93
16:08:08,95
16:08:13,96
16:08:28,96
16:08:43,96
16:08:58,96
16:09:03,95
16:09:13,94
16:09:18,93
16:09:23,93
16:09:33,92
16:09:48,92
16:10:03,91
16:10:18,91
16:10:28,90
16:10:33,90
16:10:48,90
16:11:03,90
16:11:18,90
16:11:33,91
16:11:38,89
16:11:53,90
16:11:58,89
16:12:08,90
16:12:13,91
16:12:23,90
16:12:38,92
16:12:43,91
16:12:48,92
16:13:03,92
16:13:13,92
16:13:23,91
16:13:33,90
16:13:38,89
16:13:53,90
16:14:08,90
16:14:23,88
16:14:28,87
16:14:33,88
16:14:38,89
16:14:43,91
16:14:48,92
16:14:53,93
16:14:58,94
16:15:13,94
16:15:28,94
16:15:43,93
16:15:48,92
16:15:53,90
16:16:08,91
16:16:23,90
16:16:28,90
16:16:43,90
16:16:53,88
16:17:03,89
16:17:13,91
16:17:18,90
16:17:28,91
16:17:38,92
16:17:43,91
16:17:58,91
16:18:13,91
16:18:23,92
16:18:28,93
16:18:33,92
16:18:38,91
16:18:53,92
16:18:58,92
16:19:13,93
16:19:18,92
16:19:33,93
16:19:38,92
16:19:43,91
16:19:53,92
16:20:08,92
16:20:13,91
16:20:23,92
16:20:28,92
16:20:33,92
16:20:48,92
16:20:58,94
16:21:03,93
16:21:18,92
16:21:28,91
16:21:33,91
16:21:38,91
16:21:43,91
16:21:48,90
16:21:58,91
16:22:03,92
16:22:18,92
16:22:28,93
