Time,Heart Rate
16:11:08,105
16:11:18,106
16:11:23,107
16:11:33,106
16:11:38,106
16:11:43,107
16:11:58,107
16:12:13,107
16:12:18,108
16:12:23,109
16:12:28,110
16:12:33,106
16:12:38,104
16:12:53,104
16:12:58,102
16:13:13,102
16:13:18,100
16:13:23,98
16:13:38,98
16:13:53,98
16:14:08,98
16:14:25,98
16:14:30,99
16:14:35,97
16:14:50,97
16:14:55,96
16:15:00,95
16:15:10,94
16:15:15,91
16:15:20,90
16:15:25,91
16:15:30,92
16:15:35,93
16:15:40,94
16:15:45,96
16:15:55,97
16:16:00,98
16:16:05,97
16:16:10,96
16:16:15,94
16:16:20,92
16:16:35,92
16:16:40,93
16:16:45,95
16:16:55,96
16:17:00,97
16:17:10,98
16:17:15,97
16:17:20,95
16:17:25,94
16:17:30,95
16:17:35,93
16:17:40,92
16:17:45,90
16:18:00,90
16:18:05,91
16:18:10,95
16:18:15,98
16:18:20,95
16:18:25,94
16:18:30,93
16:18:35,92
16:18:50,91
16:18:55,90
16:19:00,88
16:19:05,88
16:19:10,88
16:19:25,88
16:19:40,87
16:19:55,87
16:20:10,87
16:20:15,89
16:20:20,90
16:20:25,88
16:20:31,88
16:20:36,87
16:20:51,87
16:20:56,87
16:21:01,88
16:21:11,87
16:21:26,87
16:21:41,88
16:21:51,89
16:21:56,90
16:22:01,89
16:22:06,91
16:22:11,93
16:22:21,94
16:22:26,92
16:22:31,91
16:22:41,92
16:22:56,90
16:23:06,89
16:23:16,90
16:23:31,90
16:23:36,89
16:23:41,88
16:23:56,89
16:24:01,90
16:24:06,89
16:24:11,88
16:24:16,88
16:24:21,89
16:24:36,90
16:24:46,89
16:24:56,88
16:25:01,89
16:25:06,90
16:25:16,92
16:25:31,94
16:25:36,96
16:25:46,98
16:25:51,99
16:25:56,100
16:26:01,101
16:26:06,99
16:26:11,98
16:26:21,95
16:26:31,94
16:26:46,94
16:26:56,93
16:27:11,93
16:27:16,94
16:27:31,94
16:27:36,94
16:27:51,94
16:27:56,93
16:28:01,92
16:28:06,91
16:28:11,92
16:28:26,92
16:28:36,93
16:28:41,92
16:28:56,92
