Time,Heart Rate
15:03:08,70
15:03:18,74
15:03:23,89
15:03:28,86
15:03:38,87
15:03:43,89
15:03:48,91
15:03:53,90
15:04:03,91
15:04:13,90
15:04:18,89
15:04:23,87
15:04:28,88
15:04:33,90
15:04:38,88
15:04:53,88
15:05:08,88
15:05:13,89
15:05:18,88
15:05:23,86
15:05:38,86
15:05:53,87
15:05:58,85
15:06:13,86
15:06:23,85
15:06:28,83
15:06:43,82
15:06:58,82
15:07:03,81
15:07:18,83
15:07:23,85
15:07:28,89
15:07:38,88
15:07:43,87
15:07:53,88
15:07:58,89
15:08:03,90
15:08:08,93
15:08:23,91
15:08:28,85
15:08:33,86
15:08:48,86
15:08:53,85
15:09:03,88
15:09:08,89
15:09:18,90
15:09:23,91
15:09:28,93
15:09:38,90
15:09:43,88
15:09:48,87
15:09:53,85
15:09:58,86
15:10:03,88
15:10:13,89
15:10:18,90
15:10:28,91
15:10:33,92
15:10:43,94
15:10:48,95
15:10:58,93
15:11:03,89
15:11:08,85
15:11:13,81
15:11:18,81
15:11:28,82
15:11:38,86
15:11:43,89
15:11:48,90
15:12:03,91
15:12:08,92
15:12:13,90
15:12:28,89
15:12:33,87
15:12:38,88
15:12:43,89
15:12:53,90
15:12:58,92
