Time,Heart Rate
16:16:08,66
16:16:18,68
16:16:23,69
16:16:28,71
16:16:33,70
16:16:38,70
16:16:43,73
16:16:48,74
16:16:58,75
16:17:13,72
16:17:28,72
16:17:33,73
16:17:43,74
16:17:48,73
16:17:53,72
16:18:03,71
16:18:13,72
16:18:18,71
16:18:23,72
16:18:38,72
16:18:43,73
16:18:48,72
16:18:53,71
16:18:58,72
16:19:08,69
16:19:18,68
16:19:23,66
16:19:28,63
16:19:33,64
16:19:48,64
16:19:53,65
16:20:08,66
16:20:13,68
16:20:18,70
16:20:23,75
16:20:28,76
16:20:33,78
16:20:38,78
16:20:53,78
16:20:58,80
16:21:08,81
16:21:18,79
16:21:23,78
16:21:28,77
16:21:33,76
16:21:43,77
16:21:48,78
16:22:03,78
16:22:18,78
16:22:23,79
16:22:28,80
16:22:33,79
16:22:38,76
16:22:43,75
16:22:48,76
16:22:53,77
16:22:58,79
16:23:03,80
16:23:09,80
16:23:14,79
16:23:19,77
16:23:24,76
16:23:39,76
16:23:54,74
16:24:09,75
16:24:24,75
16:24:34,74
16:24:39,73
16:24:49,71
16:24:54,70
16:24:59,71
16:25:04,72
16:25:14,71
16:25:19,73
16:25:24,72
16:25:34,74
16:25:44,75
16:25:59,76
