Time,Heart Rate
14:00:07,92
14:00:12,89
14:00:17,89
14:00:27,88
14:00:37,91
14:00:52,93
14:00:57,97
14:01:07,96
14:01:12,94
14:01:17,96
14:01:22,97
14:01:27,98
14:01:32,101
14:01:37,107
14:01:42,105
14:01:47,102
14:01:52,100
14:02:02,102
14:02:07,100
14:02:12,98
14:02:22,99
14:02:37,99
14:02:42,99
14:02:47,101
14:02:52,102
14:02:57,101
14:03:03,101
14:03:08,100
14:03:13,100
14:03:28,100
14:03:33,98
14:03:38,95
14:03:43,90
14:03:48,87
14:03:53,86
14:03:58,87
14:04:13,87
14:04:18,84
14:04:23,87
14:04:28,90
14:04:33,91
14:04:38,92
14:04:53,92
14:04:58,91
14:05:13,91
14:05:18,92
14:05:23,97
14:05:28,98
14:05:33,98
14:05:43,97
14:05:48,96
14:05:58,97
14:06:13,97
14:06:15,99
14:06:20,101
14:06:30,100
14:06:40,102
14:06:45,103
14:06:50,102
14:06:55,97
14:07:00,96
14:07:05,100
14:07:10,96
14:07:15,97
14:07:20,96
14:07:25,94
14:07:30,89
14:07:35,90
14:07:40,92
14:07:55,91
14:08:05,93
14:08:10,94
14:08:15,97
14:08:20,95
14:08:25,95
14:08:30,94
14:08:35,94
14:08:40,95
14:08:50,94
14:09:00,95
14:09:05,95
14:09:10,96
14:09:25,96
14:09:40,97
14:09:45,97
14:09:50,98
14:09:55,97
