Time,Heart Rate
15:18:03,103
15:18:08,103
15:18:13,106
15:18:18,109
15:18:23,107
15:18:28,106
15:18:38,104
15:18:48,106
15:18:58,105
15:19:03,104
15:19:08,103
15:19:13,102
15:19:18,98
15:19:23,95
15:19:38,95
15:19:53,96
15:19:58,95
15:20:03,96
15:20:08,97
15:20:13,96
15:20:18,97
15:20:28,96
15:20:33,94
15:20:38,93
15:20:43,94
15:20:48,96
15:20:53,99
15:20:58,97
15:21:03,98
15:21:13,99
15:21:18,101
15:21:23,100
15:21:28,101
15:21:33,103
15:21:38,104
15:21:43,102
15:21:48,104
15:21:53,102
15:21:58,100
15:22:03,100
15:22:08,101
15:22:13,102
15:22:18,101
15:22:23,100
15:22:38,100
15:23:29,94
15:23:34,91
15:23:39,88
15:23:44,90
15:23:59,90
15:24:04,93
15:24:09,94
15:24:14,94
15:24:29,94
15:24:44,95
15:24:49,94
15:25:04,94
15:25:09,93
15:25:24,94
15:25:39,94
15:25:44,95
15:25:49,97
15:25:54,98
15:26:09,97
15:26:14,95
15:26:19,94
15:26:24,93
15:26:29,92
15:26:34,93
15:26:39,95
15:26:49,96
15:27:04,95
15:27:09,93
15:27:14,92
15:27:19,90
15:27:24,91
15:27:29,93
15:27:34,92
15:27:39,91
15:27:54,91
15:27:59,90
15:28:14,90
15:28:24,89
15:28:39,89
15:28:49,96
15:28:54,101
15:28:59,100
15:29:04,101
15:29:09,99
15:29:14,99
15:29:19,100
15:29:24,100
15:29:29,101
15:29:39,100
15:29:44,98
15:29:49,97
15:29:55,98
15:30:00,96
15:30:05,97
15:30:10,103
15:30:15,105
15:30:20,106
15:30:25,104
15:30:30,103
15:30:35,101
15:30:40,99
15:30:45,98
15:30:50,103
15:30:55,105
15:31:00,104
15:31:05,107
15:31:10,109
15:31:15,106
15:31:20,102
15:31:25,98
15:31:30,93
15:31:35,96
15:31:40,98
15:31:55,98
15:32:00,96
15:32:10,96
15:32:15,96
15:32:20,95
15:32:25,95
15:32:35,94
15:32:40,93
15:32:50,93
15:32:55,94
15:33:10,95
15:33:15,96
15:33:20,94
15:33:25,95
15:33:30,98
15:33:35,98
15:33:50,99
15:34:05,100
15:34:20,101
15:34:25,102
15:34:30,103
15:34:35,104
15:34:40,101
15:34:45,99
15:34:50,98
15:34:55,97
