Time,Heart Rate
16:40:08,65
16:40:13,65
16:40:28,65
16:40:43,66
16:40:48,67
16:40:58,67
16:41:03,66
16:41:18,66
16:41:33,65
16:41:43,66
16:41:48,67
16:41:53,68
16:41:58,68
16:42:03,69
16:42:08,68
16:42:13,66
16:42:23,65
16:42:38,65
16:42:43,66
16:42:48,67
16:43:03,68
16:43:18,69
16:43:23,70
16:43:28,71
16:43:33,72
16:43:43,69
16:43:48,67
16:44:03,67
16:44:08,68
16:44:13,68
16:44:23,69
16:44:33,66
16:44:38,67
16:44:43,68
16:44:48,65
16:44:53,64
16:45:03,65
16:45:13,65
16:45:18,65
16:45:33,65
16:45:38,65
16:45:53,65
16:45:58,66
16:46:03,67
16:46:13,66
16:46:18,65
16:46:33,65
16:46:38,66
16:46:48,67
16:47:03,67
16:47:08,68
16:47:23,68
16:47:38,68
16:47:53,68
16:47:58,67
16:48:08,66
16:48:23,66
16:48:33,68
16:48:38,71
16:48:43,71
16:48:58,70
16:49:03,69
16:49:13,70
16:49:23,69
16:49:28,68
16:49:33,68
16:49:38,67
16:49:44,67
16:49:49,68
