Time,Heart Rate
16:16:00,120
16:16:05,121
16:16:20,121
16:16:25,120
16:16:30,119
16:16:35,120
16:16:40,119
16:16:45,120
16:16:50,118
16:16:55,119
16:17:00,120
16:17:05,119
16:17:10,116
16:17:15,112
16:17:20,110
16:17:25,112
16:17:35,113
16:17:45,115
16:17:50,116
16:17:55,114
16:18:05,115
16:18:10,114
16:18:15,114
16:18:20,115
16:18:25,114
16:18:30,113
16:18:45,114
16:18:50,112
16:18:55,114
16:19:00,115
16:19:05,117
16:19:10,114
16:19:15,115
16:19:20,112
16:19:25,111
16:19:35,110
16:19:45,109
16:19:50,110
16:19:55,112
16:20:00,115
16:20:05,116
16:20:10,115
16:20:20,117
16:20:25,119
16:20:30,117
16:20:35,113
16:20:40,106
16:20:45,102
16:20:50,96
16:20:55,100
16:21:00,102
16:21:05,108
16:21:10,104
16:21:15,104
16:21:25,107
16:21:30,108
16:21:45,110
16:21:50,111
16:21:55,107
16:22:00,104
16:22:10,104
16:22:25,105
16:22:30,104
16:22:35,102
16:22:40,101
16:22:55,102
16:23:00,104
16:23:05,103
16:23:10,104
16:23:20,106
16:23:25,107
16:23:30,105
16:23:40,104
16:23:45,100
16:23:50,98
16:23:55,96
16:24:00,101
16:24:10,99
16:24:15,102
16:24:30,102
16:24:35,102
16:24:45,101
16:24:50,102
16:24:55,103
16:25:00,100
16:25:05,100
16:25:15,100
16:25:20,99
16:25:30,102
16:25:35,99
16:25:40,99
16:25:50,103
16:25:55,102
16:26:00,101
