Time,Heart Rate
16:10:13,94
16:10:28,95
16:10:33,96
16:10:38,98
16:10:43,103
16:10:48,105
16:10:53,106
16:10:58,98
16:11:03,91
16:11:08,88
16:11:13,86
16:11:18,91
16:11:23,98
16:11:28,97
16:11:33,94
16:11:38,92
16:11:43,90
16:11:48,91
16:11:53,91
16:12:08,91
16:12:18,92
16:12:23,97
16:12:28,101
16:12:33,103
16:12:38,104
16:12:43,103
16:12:48,101
16:12:53,104
16:12:58,106
16:13:03,107
16:13:08,104
16:13:13,105
16:13:18,108
16:13:23,107
16:13:29,105
16:13:34,104
16:13:44,103
16:13:49,100
16:13:59,102
16:14:14,102
16:14:19,103
16:14:24,101
16:14:39,102
16:14:44,100
16:14:49,99
16:14:54,98
16:15:04,96
16:15:09,97
16:15:14,100
16:15:19,99
16:15:24,95
16:15:29,90
16:15:34,88
16:15:39,87
16:15:44,89
16:15:49,92
16:16:04,96
16:16:09,97
16:16:19,98
16:16:34,101
16:16:39,99
16:16:44,98
16:16:54,100
16:16:59,106
16:17:04,107
16:17:09,108
16:17:14,107
16:17:24,102
16:17:29,99
16:17:34,100
16:17:39,98
16:17:49,97
16:17:54,96
16:17:59,95
16:18:09,96
16:18:14,95
16:18:19,94
16:18:24,93
16:18:29,98
16:18:34,105
16:18:39,105
16:18:49,108
16:18:54,104
16:18:59,99
16:19:04,97
16:19:09,103
16:19:14,107
16:19:19,110
16:19:25,110
16:19:35,112
16:19:45,115
16:19:50,116
16:19:55,106
16:20:00,105
16:20:05,104
16:20:10,107
16:20:15,110
16:20:20,104
16:20:25,97
16:20:30,101
16:20:40,102
16:20:45,102
16:20:55,101
16:21:00,102
16:21:10,98
16:21:15,94
16:21:20,100
16:21:25,101
16:21:35,103
16:21:40,109
16:21:45,108
16:21:50,101
16:21:55,100
16:22:00,101
16:22:06,98
16:22:11,100
16:22:26,100
16:22:36,99
16:22:46,98
16:22:56,95
16:23:01,93
16:23:11,95
16:23:16,94
16:23:26,93
16:23:31,95
16:23:36,96
16:23:46,92
16:23:56,93
16:24:11,97
16:24:16,101
16:24:26,100
16:24:31,97
16:24:36,98
16:24:46,96
16:24:51,95
16:24:56,94
16:25:01,93
16:25:16,93
16:25:26,94
16:25:31,100
16:25:36,103
16:25:41,103
16:25:51,102
16:25:56,101
16:26:01,100
16:26:06,97
16:26:11,96
16:26:16,97
16:26:21,98
16:26:26,96
16:26:31,95
16:26:36,94
16:26:51,96
16:27:01,97
16:27:06,94
16:27:16,94
16:27:21,95
16:27:36,95
16:27:46,95
16:27:51,96
16:27:56,91
16:28:06,92
16:28:21,92
16:28:26,95
16:28:31,100
16:28:36,101
16:28:42,98
16:28:47,97
16:28:57,99
16:29:07,98
16:29:12,97
16:29:17,96
16:29:27,93
16:29:32,90
16:29:47,90
