Time,Heart Rate
15:58:04,87
15:58:09,88
15:58:14,90
15:58:19,92
15:58:24,93
15:58:34,94
15:58:39,93
15:58:44,92
15:58:49,91
15:58:59,90
15:59:04,88
15:59:09,87
15:59:14,88
15:59:24,90
15:59:29,89
15:59:34,89
15:59:39,87
15:59:44,87
15:59:59,87
16:00:04,87
16:00:09,88
16:00:24,89
16:00:39,88
16:00:44,82
16:00:49,79
16:00:54,81
16:01:04,83
16:01:19,83
16:01:29,83
16:01:44,83
16:01:54,81
16:01:59,79
16:02:09,80
16:02:14,82
16:02:19,83
16:02:24,85
16:02:29,86
16:02:36,85
16:02:41,85
16:02:51,86
16:02:56,88
16:03:01,89
16:03:06,90
16:03:16,89
16:03:21,88
16:03:31,86
16:03:41,81
16:03:46,74
16:03:51,73
16:04:06,73
16:04:21,73
16:04:26,72
16:04:36,73
16:04:41,74
16:04:56,75
16:05:01,77
16:05:06,79
16:05:11,80
16:05:16,79
16:05:26,80
16:05:31,83
16:05:36,91
16:05:46,92
16:05:51,96
16:06:01,93
16:06:06,91
16:06:11,92
16:06:16,91
16:06:26,92
16:06:41,92
16:06:51,91
16:06:56,90
16:07:01,91
16:07:11,90
16:07:21,89
16:07:31,88
16:07:36,89
16:07:51,89
16:08:06,90
16:08:11,90
16:08:16,89
16:08:21,87
16:08:26,86
16:08:31,71
16:08:36,70
16:08:46,71
16:09:01,71
16:09:02,73
16:09:07,75
16:09:12,77
16:09:17,79
16:09:22,81
16:09:27,82
16:09:32,83
16:09:37,84
16:09:42,83
16:09:47,82
16:09:52,81
16:09:57,80
16:10:02,82
16:10:07,83
16:10:12,84
16:10:17,85
16:10:22,86
16:10:27,85
16:10:32,85
16:10:37,86
16:10:42,87
16:10:47,88
16:10:52,88
16:10:57,90
16:11:02,91
16:11:07,93
16:11:12,94
16:11:17,94
16:11:22,93
16:11:27,93
16:11:32,98
16:11:37,101
16:11:42,99
16:11:47,98
16:11:52,97
16:11:57,95
16:12:02,92
16:12:07,90
16:12:12,90
16:12:17,93
16:12:22,101
16:12:27,105
16:12:42,104
16:12:47,106
16:12:52,105
16:12:57,103
16:13:02,101
16:13:07,100
16:13:17,101
16:13:22,104
16:13:27,102
16:13:32,101
16:13:42,98
16:13:48,96
16:13:53,95
16:13:58,94
16:14:08,96
16:14:13,98
16:14:18,96
16:14:23,95
16:14:28,93
16:14:33,93
16:14:43,94
16:14:48,95
16:15:03,94
16:15:08,92
16:15:13,90
16:15:18,90
16:15:28,88
16:15:33,85
16:15:38,84
16:15:53,84
16:15:58,85
16:16:03,84
16:16:08,85
16:16:13,86
16:16:23,86
16:16:28,87
16:16:33,89
16:16:48,89
16:16:53,88
16:16:58,87
16:17:03,86
16:17:08,85
16:17:18,83
16:17:28,82
16:17:33,81
16:17:38,80
16:17:43,79
16:17:53,78
16:17:58,79
16:18:13,80
16:18:18,78
16:18:23,76
16:18:38,79
16:18:43,82
16:18:48,83
16:19:03,83
16:19:18,83
16:19:23,86
16:19:28,88
16:19:33,86
16:19:38,85
16:19:48,84
16:19:58,85
16:20:03,86
16:20:08,85
16:20:14,86
16:20:19,87
16:20:24,88
16:20:29,90
16:20:34,93
16:20:39,94
16:20:44,93
16:20:49,92
16:20:54,91
16:21:04,90
16:21:09,91
16:21:14,90
16:21:19,89
16:21:29,87
16:21:34,86
16:21:39,87
16:21:44,91
16:21:49,94
16:22:04,94
16:22:09,93
16:22:24,98
16:22:29,99
16:22:34,101
16:22:39,100
16:22:44,101
16:22:49,102
16:22:59,97
16:23:04,92
16:23:09,91
16:23:14,92
16:23:19,93
16:23:24,95
16:23:29,94
16:23:34,94
16:23:39,90
16:23:44,89
16:23:59,92
16:24:04,94
16:24:09,92
16:24:14,94
16:24:19,99
16:24:24,98
16:24:29,97
16:24:34,95
16:24:39,94
16:24:44,95
16:24:49,97
16:24:54,98
16:24:59,99
16:25:04,97
16:25:09,96
16:25:14,95
16:25:19,94
16:25:34,94
16:25:39,94
16:25:44,93
16:25:54,95
16:25:59,94
16:26:04,91
16:26:09,88
16:26:14,91
16:26:19,93
16:26:34,94
16:26:44,95
16:26:54,91
16:26:59,88
16:27:04,92
16:27:09,96
16:27:14,98
16:27:19,99
16:27:24,100
16:27:34,97
16:27:39,96
16:27:44,97
16:27:49,100
16:27:54,97
16:27:59,94
16:28:04,93
16:28:09,98
16:28:14,97
16:28:19,95
16:28:25,94
16:28:30,93
16:28:45,91
16:28:50,89
16:28:55,90
16:29:00,91
16:29:05,90
16:29:15,92
16:29:20,93
16:29:25,94
16:29:30,93
16:29:35,93
16:29:45,93
16:29:50,92
16:30:00,91
16:30:05,92
16:30:10,93
16:30:15,97
16:30:20,99
16:30:25,100
16:30:30,105
16:30:35,102
16:30:40,94
16:30:45,93
16:30:50,94
16:30:55,93
16:31:05,95
16:31:10,94
16:31:15,93
16:31:20,94
16:31:25,87
16:31:30,85
16:31:35,93
16:31:40,100
16:31:45,102
16:31:50,100
16:31:55,98
16:32:05,107
16:32:10,109
16:32:15,112
16:32:20,115
16:32:25,113
16:32:30,110
16:32:35,107
16:32:40,108
16:32:45,112
16:32:50,117
16:32:55,118
16:33:00,120
16:33:05,117
16:33:10,115
16:33:20,112
16:33:27,107
16:33:32,111
16:33:37,118
16:33:42,119
16:33:47,117
16:33:52,114
16:33:57,113
16:34:02,112
16:34:07,117
16:34:12,115
16:34:17,111
16:34:22,108
16:34:27,105
16:34:32,99
16:34:47,99
16:34:52,100
16:35:07,100
16:35:12,97
16:35:17,99
16:35:22,98
16:35:27,95
16:35:37,100
16:35:42,104
16:35:47,107
16:35:57,105
16:36:02,101
16:36:10,101
16:36:15,101
16:36:25,100
16:36:30,98
16:36:35,96
16:36:50,98
16:36:55,100
16:37:00,101
16:37:05,104
16:37:10,101
16:37:15,99
16:37:20,102
16:37:30,97
16:37:35,95
16:37:45,96
16:37:50,97
16:37:55,96
16:38:00,95
16:38:05,96
16:38:10,95
16:38:15,94
16:38:25,96
16:38:30,97
16:38:35,96
16:38:45,95
16:39:00,95
16:39:15,95
16:39:20,95
16:39:30,94
16:39:35,90
16:39:40,86
16:39:50,86
16:39:55,85
16:40:00,83
16:40:05,83
16:40:10,82
16:40:15,85
16:40:30,86
16:40:35,85
16:40:50,85
16:41:00,86
16:41:05,85
16:41:10,84
16:41:15,83
16:41:25,82
16:41:35,81
16:41:40,80
16:41:55,80
16:42:00,82
