Time,Heart Rate
12:49:01,90
12:49:06,89
12:49:16,90
12:49:26,89
12:49:31,88
12:49:36,87
12:49:46,88
12:49:51,89
12:49:56,91
12:50:01,92
12:50:06,93
12:50:16,92
12:50:31,91
12:50:36,93
12:50:46,93
12:50:56,94
12:51:11,88
12:51:16,84
12:51:21,84
12:51:26,85
12:51:31,88
12:51:36,90
12:51:41,91
12:51:51,95
12:51:56,102
12:52:01,101
12:52:06,100
12:52:11,101
12:52:16,102
12:52:21,103
12:52:26,106
12:52:31,105
12:52:36,104
12:52:41,103
12:52:56,104
12:53:06,102
12:53:11,100
12:53:16,96
12:53:21,94
12:53:26,93
12:53:36,92
12:53:46,97
12:53:51,101
12:53:56,105
12:54:03,104
12:54:08,93
12:54:13,98
12:54:18,100
12:54:23,99
12:54:28,100
12:54:33,101
12:54:38,102
12:54:43,101
12:54:53,105
12:54:58,106
12:55:03,104
12:55:13,101
12:55:18,99
12:55:23,103
12:55:28,108
12:55:33,105
12:55:38,106
12:55:43,108
12:55:48,110
12:55:53,112
12:55:58,113
12:56:03,114
12:56:13,119
12:56:18,123
12:56:23,118
12:56:29,117
12:56:34,115
12:56:39,111
12:56:44,106
12:56:49,104
12:56:54,102
12:57:04,96
12:57:09,95
12:57:14,95
12:57:24,94
12:57:29,91
12:57:34,90
12:57:44,90
12:57:49,96
12:57:54,95
12:58:04,92
12:58:09,83
12:58:14,85
12:58:19,86
12:58:34,87
12:58:44,86
12:58:49,85
12:58:54,86
