Time,Heart Rate
12:29:03,61
12:29:08,60
12:29:18,62
12:29:28,61
12:29:33,59
12:29:43,58
12:29:58,59
12:30:08,57
12:30:23,57
12:30:38,58
12:30:48,58
12:30:53,59
12:30:58,60
12:31:03,61
12:31:08,62
12:31:13,59
12:31:18,58
12:31:23,57
12:31:38,58
12:31:43,59
12:31:48,62
12:32:03,62
12:32:08,61
12:32:13,60
12:32:23,60
12:32:38,60
12:32:48,61
12:32:53,58
12:33:08,57
12:33:23,58
12:33:28,59
12:33:38,64
12:33:43,66
12:33:48,64
12:33:53,62
12:33:58,60
12:34:03,59
12:34:08,58
12:34:13,59
12:34:18,60
12:34:23,61
12:34:33,61
12:34:48,60
12:34:58,61
12:35:13,61
12:35:28,60
12:35:38,61
12:35:48,62
12:35:53,64
12:35:58,63
12:36:03,62
12:36:08,61
12:36:23,60
12:36:28,61
12:36:33,62
12:36:38,64
12:36:43,63
12:36:53,62
12:37:03,62
12:37:08,61
12:37:23,61
12:37:28,62
12:37:33,61
12:37:48,59
12:37:53,58
12:37:58,57
12:38:03,56
12:38:13,55
12:38:18,55
12:38:28,56
12:38:43,57
12:38:53,59
12:38:58,60
