Time,Heart Rate
16:08:01,85
16:08:06,87
16:08:11,86
16:08:16,85
16:08:31,84
16:08:36,85
16:08:51,83
16:08:56,80
16:09:01,76
16:09:11,77
16:09:21,76
16:09:31,75
16:09:36,73
16:09:41,72
16:09:46,73
16:09:51,73
16:09:56,72
16:10:11,72
16:10:16,73
16:10:21,74
16:10:26,75
16:10:36,76
16:10:41,77
16:10:51,72
16:10:56,73
16:11:01,74
16:11:06,73
16:11:11,73
16:11:26,74
16:11:36,75
16:11:41,76
16:11:51,77
16:11:56,78
16:12:01,79
16:12:11,80
16:12:16,76
16:12:21,73
16:12:31,74
16:12:36,75
16:12:41,76
16:12:46,75
16:12:51,71
16:12:56,67
16:13:06,71
16:13:11,75
16:13:16,74
16:13:21,72
16:13:26,70
16:13:31,69
16:13:46,68
16:13:51,67
16:14:01,68
16:14:06,69
16:14:21,69
16:14:26,76
16:14:31,83
16:14:36,84
16:14:51,84
16:15:01,83
16:15:06,82
16:15:21,82
16:15:31,81
16:15:36,80
16:15:41,79
16:15:46,79
16:15:51,78
16:16:06,77
16:16:11,72
16:16:16,68
16:16:21,69
16:16:31,70
16:16:46,70
16:16:56,77
16:17:01,79
16:17:06,81
16:17:16,82
16:17:26,83
16:17:41,83
16:17:46,84
