Time,Heart Rate
16:13:01,77
16:13:16,77
16:13:21,77
16:13:26,78
16:13:41,77
16:13:51,78
16:14:01,80
16:14:06,81
16:14:16,83
16:14:26,84
16:14:41,84
16:14:46,85
16:14:51,84
16:14:56,86
16:15:01,88
16:15:06,87
16:15:11,88
16:15:16,88
16:15:21,87
16:15:26,86
16:15:31,84
16:15:36,84
16:15:41,83
16:15:46,82
16:15:56,80
16:16:01,79
16:16:06,78
16:16:11,78
16:16:26,78
16:16:31,77
16:16:36,78
16:16:41,80
16:16:56,80
16:17:06,80
16:17:21,80
16:17:26,83
16:17:32,83
16:17:37,82
16:17:42,81
16:17:47,80
16:17:57,80
16:18:02,79
16:18:17,79
16:18:22,78
16:18:27,77
16:18:42,77
16:18:47,76
16:18:57,77
16:19:02,76
16:19:17,76
16:19:22,78
16:19:27,79
16:19:42,80
16:19:47,81
16:20:02,79
16:20:07,78
16:20:12,77
16:20:17,76
16:20:27,75
16:20:42,76
16:20:52,76
16:20:57,75
16:21:07,71
16:21:12,71
16:21:27,71
16:21:42,71
16:21:47,70
16:21:52,68
16:22:02,69
16:22:12,69
16:22:27,69
16:22:42,69
16:22:57,69
16:23:02,70
16:23:07,72
16:23:12,74
16:23:22,77
16:23:27,78
16:23:32,77
16:23:47,79
16:23:52,79
16:24:02,81
16:24:07,82
16:24:12,81
16:24:17,80
16:24:22,79
16:24:37,78
16:24:42,79
16:24:57,80
16:25:02,76
16:25:07,73
16:25:22,73
16:25:27,74
16:25:32,72
16:25:37,70
16:25:42,71
16:25:47,70
16:26:02,70
16:26:17,71
16:26:22,72
16:26:27,73
16:26:37,74
16:26:47,76
16:26:52,79
16:26:57,81
16:27:02,82
16:27:07,83
16:27:12,83
16:27:27,83
16:27:32,84
16:27:37,83
16:27:47,82
16:27:52,81
16:27:57,80
16:28:07,79
16:28:12,79
16:28:22,78
16:28:27,73
16:28:42,73
16:28:47,74
16:29:02,74
16:29:07,75
16:29:17,75
16:29:22,73
16:29:32,74
16:29:37,75
16:29:52,72
16:29:57,67
16:30:02,68
16:30:07,69
16:30:12,70
16:30:27,71
16:30:32,72
16:30:37,75
16:30:42,77
16:30:52,75
16:31:07,75
16:31:22,74
16:31:32,75
16:31:47,75
16:31:52,74
16:32:07,73
16:32:12,72
16:32:17,71
16:32:22,72
16:32:27,74
16:32:32,76
16:32:37,77
16:32:42,78
16:32:47,79
16:32:52,80
16:32:57,81
16:33:12,81
16:33:22,81
16:33:27,82
16:33:42,82
16:33:57,82
