Time,Heart Rate
11:14:34,92
11:14:39,91
11:14:44,90
11:14:59,90
11:15:04,92
11:15:09,93
11:15:14,93
11:15:19,89
11:15:24,90
11:15:29,94
11:15:34,97
11:15:49,96
11:15:59,99
11:16:04,100
11:16:14,93
11:16:19,90
11:16:29,89
11:16:34,90
11:16:39,92
11:16:44,94
11:16:49,90
11:16:54,90
11:16:59,91
11:17:09,93
11:17:19,92
11:17:24,90
11:17:29,90
11:17:34,92
11:17:44,89
11:17:49,88
11:17:54,87
11:17:59,88
11:18:09,92
11:18:14,94
11:18:19,94
11:18:29,95
11:18:34,93
11:18:44,94
11:18:59,94
11:19:04,95
11:19:09,92
11:19:14,89
11:19:19,90
11:19:34,90
11:19:40,91
11:19:45,92
11:19:50,92
11:20:05,92
11:20:20,94
11:20:35,94
11:20:40,97
11:20:45,98
11:20:50,98
11:21:00,97
11:21:15,97
11:21:20,96
11:21:25,95
11:21:35,93
11:21:40,90
11:21:50,89
11:21:55,89
11:22:00,92
11:22:05,94
11:22:10,91
11:22:15,85
11:22:25,87
11:22:30,88
11:22:45,88
11:22:50,89
11:22:55,87
11:23:00,85
11:23:05,85
11:23:10,86
11:23:15,87
11:23:20,88
11:23:25,88
11:23:35,89
11:23:50,90
11:24:00,89
11:24:05,89
11:24:15,90
11:24:20,99
11:24:25,99
