Time;Heart Rate
16:57:30;91
16:57:45;91
16:57:50;92
16:57:55;91
16:58:10;91
16:58:15;91
16:58:30;91
16:58:35;90
16:58:45;91
16:58:53;91
16:58:58;92
16:59:03;93
16:59:08;92
16:59:13;93
16:59:18;94
16:59:28;95
16:59:43;95
16:59:53;93
16:59:58;91
17:00:08;89
17:00:18;88
17:00:23;86
17:00:33;87
17:00:38;88
17:00:43;89
17:00:48;88
17:00:53;84
17:00:58;85
17:01:08;84
17:01:13;76
17:01:18;74
17:01:28;76
17:01:33;78
17:01:43;78
17:01:58;78
17:02:08;79
17:02:13;80
17:02:18;81
17:02:23;82
17:02:28;83
17:02:43;83
17:02:48;84
17:02:53;86
17:02:58;85
17:03:03;84
17:03:08;84
17:03:13;83
17:03:23;84
17:03:38;86
17:03:43;85
17:03:48;85
17:03:53;85
17:03:58;86
17:04:03;87
17:04:18;87
17:04:33;88
17:04:48;89
17:04:53;87
17:04:58;83
17:05:08;84
17:05:13;84
17:05:23;85
17:05:33;87
17:05:38;90
17:05:43;87
17:05:48;81
17:05:53;75
17:05:58;73
17:06:13;73
17:06:23;74
17:06:33;75
17:06:43;77
17:06:48;78
17:06:53;79
17:07:08;79
17:07:13;80
17:07:18;82
17:07:23;84
17:07:28;85
