Time,Heart Rate
11:15:21,115
11:15:31,114
11:15:36,115
11:15:51,116
11:16:01,117
11:16:16,117
11:16:21,116
11:16:26,112
11:16:31,109
11:16:36,110
11:16:41,115
11:16:46,113
11:16:56,111
11:17:01,110
11:17:06,108
11:17:11,106
11:17:16,105
11:17:31,103
11:17:36,103
11:17:41,107
11:17:46,108
11:17:51,109
11:17:56,112
11:18:01,113
11:18:06,112
11:18:11,113
11:18:16,114
11:18:21,113
11:18:26,112
11:18:41,112
11:18:46,118
11:18:51,120
11:19:01,118
11:19:16,118
11:21:32,102
11:21:42,99
11:21:47,96
11:22:02,96
11:22:07,97
11:22:17,97
11:22:22,98
11:22:32,96
11:22:37,100
11:22:42,102
11:22:47,104
11:22:52,106
11:22:57,105
11:23:07,104
11:23:12,103
11:23:17,104
11:23:22,103
11:23:27,101
11:23:32,102
11:23:37,103
11:23:42,104
11:23:47,105
11:23:52,106
11:23:57,107
11:24:12,107
11:24:17,109
11:24:22,112
11:24:27,119
11:24:32,118
11:24:37,114
11:24:42,113
11:24:47,115
11:24:57,112
11:25:02,109
11:25:07,108
11:25:12,105
11:25:22,104
11:25:37,104
11:25:42,101
11:25:47,98
11:25:57,93
11:26:02,92
11:26:12,93
11:26:17,94
11:26:27,97
11:26:37,96
11:26:42,99
11:26:47,100
11:26:52,100
11:26:57,101
11:27:07,103
11:27:12,104
11:27:17,106
11:27:23,104
11:27:28,101
11:27:33,100
11:27:38,98
11:27:43,94
11:27:48,91
11:27:53,90
11:28:03,90
11:28:08,91
11:28:23,99
11:28:28,97
11:28:33,96
11:28:38,97
11:28:43,100
11:28:48,101
11:28:53,102
11:29:03,103
11:29:08,102
11:29:13,101
11:29:18,97
11:29:23,96
11:29:28,99
11:29:33,98
11:29:48,95
11:29:53,93
11:29:58,93
11:30:03,93
11:30:18,93
11:30:28,95
11:30:33,96
11:30:38,97
11:30:43,94
11:30:48,91
11:30:53,88
11:30:58,86
11:31:03,85
11:31:08,84
11:31:23,84
11:31:28,85
11:31:33,86
11:31:43,88
11:31:48,89
11:31:53,90
11:31:58,92
11:32:03,94
11:32:13,95
11:32:18,96
11:32:23,98
11:32:33,100
11:32:38,99
11:32:43,97
11:32:53,99
11:32:58,99
