Time;Heart Rate
13:45:04;146
13:45:09;148
13:45:14;146
13:45:19;144
13:45:24;142
13:45:29;140
13:45:34;139
13:45:49;139
13:45:54;138
13:46:09;138
13:46:14;142
13:46:19;143
13:46:24;144
13:46:29;143
13:46:44;143
13:46:49;142
13:46:54;143
13:46:59;145
13:47:04;147
13:47:09;148
13:47:14;149
13:47:19;150
13:47:24;149
13:47:39;148
13:47:44;144
13:47:49;143
13:47:54;141
13:47:59;140
13:48:04;139
13:48:19;138
13:48:34;137
13:48:49;136
13:48:54;136
13:49:04;135
13:49:09;134
13:49:14;132
13:49:19;131
13:49:24;130
13:49:39;129
13:49:44;127
13:49:59;127
13:50:09;128
13:50:19;128
13:50:24;130
13:50:29;131
13:50:44;131
13:50:49;130
13:50:54;128
13:50:59;128
13:51:09;126
13:51:19;124
13:51:24;123
13:51:29;131
13:51:34;135
13:51:49;135
13:51:54;132
13:52:09;132
13:52:24;132
13:52:39;132
13:52:44;132
13:52:59;132
13:54:10;135
13:54:20;134
13:54:35;134
13:54:40;133
13:54:45;132
13:54:55;131
13:55:00;130
