Time,Heart Rate
13:01:40,81
13:01:45,80
13:01:50,79
13:02:00,80
13:02:10,79
13:02:20,80
13:02:30,81
13:02:35,81
13:02:45,79
13:02:50,78
13:02:55,79
13:03:00,81
13:03:10,80
13:03:15,79
13:03:30,79
13:03:35,78
13:03:40,79
13:03:50,80
13:04:00,82
13:04:05,81
13:04:10,78
13:04:15,77
13:04:30,77
13:04:45,78
13:04:50,77
13:04:55,78
13:05:10,77
13:05:15,77
13:05:20,78
13:05:35,79
13:05:50,80
13:06:00,79
13:06:05,80
13:06:10,79
13:06:15,78
13:06:20,78
13:06:25,77
13:06:30,76
13:06:45,75
13:07:00,75
13:07:10,75
13:07:15,76
13:07:20,76
13:07:25,77
13:07:40,77
13:07:55,77
13:08:05,76
13:08:10,75
13:08:20,71
13:08:25,70
13:08:30,69
13:08:35,68
13:08:50,68
13:08:55,66
13:09:00,67
13:09:05,66
13:09:10,65
13:09:20,66
13:09:25,67
13:09:30,68
13:09:36,68
13:09:41,68
13:09:51,67
13:10:06,67
13:10:11,67
13:10:21,68
13:10:26,69
13:10:36,70
13:10:51,70
13:10:56,69
13:11:01,70
13:11:16,71
13:11:31,71
13:11:36,72
