Time,Heart Rate
15:04:02,84
15:04:07,88
15:04:12,96
15:04:17,116
15:04:22,117
15:04:27,117
15:04:32,118
15:04:37,116
15:04:42,115
15:04:52,113
15:05:02,117
15:05:07,121
15:05:12,120
15:05:17,120
15:05:22,121
15:05:27,123
15:05:32,123
15:05:37,126
15:05:42,127
15:05:52,128
15:05:57,127
15:06:02,125
15:06:07,125
15:06:12,124
15:06:17,123
15:06:27,122
15:06:32,125
15:06:37,129
15:06:42,130
15:06:47,130
15:06:52,128
15:06:57,127
15:07:07,128
15:07:12,127
15:07:17,125
15:07:27,127
15:07:32,130
15:07:37,131
15:07:42,132
15:07:52,130
15:07:57,128
15:08:02,124
15:08:07,123
15:08:22,123
15:08:32,126
15:08:37,123
15:08:42,126
15:08:47,124
15:08:53,125
15:08:58,122
15:09:03,120
15:09:08,122
15:09:13,127
15:09:18,128
15:09:28,127
15:09:33,129
15:09:43,128
15:09:48,129
15:09:53,128
15:09:58,126
15:10:03,125
15:10:18,125
15:10:33,124
15:10:38,125
15:10:43,124
15:10:48,123
15:10:53,121
15:11:03,120
15:11:08,119
15:11:13,117
15:11:18,118
15:11:23,120
15:11:28,123
15:11:34,124
15:11:44,125
15:11:54,124
15:11:59,123
15:12:09,125
15:12:19,122
15:12:24,117
15:12:39,118
15:12:44,119
15:12:49,122
15:12:54,123
15:13:09,123
15:13:14,122
15:13:19,119
15:13:29,122
15:13:34,123
15:13:39,120
15:13:49,126
15:13:54,125
15:13:59,122
