Time,Heart Rate
16:09:10,109
16:09:15,108
16:09:20,107
16:09:25,104
16:09:30,106
16:09:35,109
16:09:50,107
16:09:55,107
16:10:05,106
16:10:10,108
16:10:15,110
16:10:20,110
16:10:25,111
16:10:30,110
16:10:35,109
16:10:50,109
16:11:00,108
16:11:05,107
16:11:10,108
16:11:15,112
16:11:20,113
16:11:25,116
16:11:30,118
16:11:35,117
16:11:40,115
16:11:45,111
16:11:50,113
16:11:55,112
16:12:00,113
16:12:05,114
16:12:10,114
16:12:15,112
16:12:20,110
16:12:25,108
16:12:30,108
16:12:35,107
16:12:45,106
16:12:50,103
16:12:55,100
16:13:00,100
16:13:05,105
16:13:20,105
16:13:30,107
16:13:40,108
16:13:55,108
16:14:56,107
16:15:01,106
16:15:11,107
16:15:21,106
16:15:26,105
16:15:31,105
16:15:36,106
16:15:41,108
16:15:46,110
16:15:56,108
16:16:01,104
16:16:06,101
16:16:21,100
16:16:31,101
16:16:46,104
16:16:51,108
16:16:56,109
16:17:01,111
16:17:06,110
16:17:11,105
16:17:16,101
16:17:26,98
16:17:31,97
16:17:36,98
16:17:46,97
16:17:51,99
16:17:56,104
16:18:01,104
16:18:06,108
16:18:11,107
16:18:21,110
16:18:26,109
16:18:31,107
16:18:46,107
