Time,Heart Rate
16:46:31,68
16:46:36,68
16:46:51,68
16:47:06,67
16:47:11,66
16:47:26,66
16:47:36,65
16:47:41,67
16:47:46,68
16:47:51,66
16:47:56,62
16:48:06,61
16:48:16,62
16:48:21,64
16:48:31,65
16:48:41,66
16:48:56,66
16:49:01,67
16:49:16,67
16:49:26,66
16:49:41,66
16:49:51,67
16:50:01,66
16:50:06,66
16:50:11,65
16:50:16,64
16:50:21,64
16:50:26,64
16:50:31,67
16:50:36,68
16:50:41,63
16:50:46,60
16:50:51,62
16:51:01,65
16:51:06,66
16:51:11,67
16:51:16,67
16:51:26,68
16:51:36,67
16:51:41,68
16:51:51,67
16:51:56,66
16:52:01,67
16:52:06,68
16:52:11,69
16:52:16,70
16:52:21,71
16:52:31,72
16:52:36,73
16:52:41,74
16:52:46,73
16:52:51,72
16:52:56,70
16:53:01,69
16:53:06,68
16:53:21,68
16:53:31,69
16:53:36,68
16:53:41,66
16:53:46,65
16:53:51,65
16:53:56,65
16:54:06,63
16:54:11,61
16:54:16,61
16:54:26,61
16:54:41,62
16:54:46,63
16:54:56,64
16:55:01,67
16:55:16,68
16:55:21,69
16:55:36,69
16:55:51,69
16:55:56,68
16:56:11,69
16:56:26,69
