Time,Heart Rate
12:57:06,116
12:57:16,113
12:57:21,110
12:57:26,107
12:57:36,104
12:57:41,103
12:57:46,88
12:57:51,77
12:57:56,70
12:58:01,69
12:58:06,70
12:58:11,70
12:58:26,71
12:58:41,70
12:58:51,69
12:59:06,69
12:59:16,70
12:59:31,71
12:59:41,69
12:59:56,69
13:00:11,69
13:00:26,68
13:00:41,68
13:00:56,69
13:01:06,68
13:01:16,69
13:01:31,70
13:01:36,71
13:01:41,70
13:01:51,71
13:01:56,71
13:02:01,69
13:02:06,67
13:02:21,67
13:02:31,68
13:02:46,69
13:03:01,69
13:03:06,70
13:03:11,71
13:03:16,71
13:03:26,70
13:03:31,69
13:03:36,67
13:03:46,65
13:04:01,65
13:04:16,66
13:04:26,68
13:04:31,68
13:04:41,68
13:04:56,68
13:05:11,68
13:05:21,68
13:05:31,69
13:05:41,70
13:05:46,70
13:05:52,70
13:05:57,71
13:06:02,70
13:06:07,71
13:06:12,72
13:06:27,71
13:06:37,72
13:06:42,73
13:06:47,74
13:06:52,75
13:06:57,76
