Time,Heart Rate
16:32:01,104
16:32:06,105
16:32:11,106
16:32:16,108
16:32:21,110
16:32:31,109
16:32:36,110
16:32:41,111
16:32:56,111
16:33:06,107
16:33:21,107
16:33:31,107
16:33:36,108
16:33:41,107
16:33:46,106
16:33:51,104
16:33:56,101
16:34:01,94
16:34:06,92
16:34:11,89
16:34:16,84
16:34:21,82
16:34:31,87
16:34:36,95
16:34:41,91
16:34:46,91
16:34:51,89
16:34:56,87
16:35:01,89
16:35:06,90
16:35:16,90
16:35:21,93
16:35:26,94
16:35:31,95
16:35:46,97
16:35:51,98
16:36:01,99
16:36:11,98
16:36:26,96
16:36:31,98
16:36:46,98
16:36:51,98
16:37:06,98
16:37:11,102
16:37:16,100
16:37:21,97
16:37:26,96
16:37:31,95
16:37:46,95
16:37:51,93
16:37:56,92
16:38:01,94
16:38:06,96
16:38:11,97
16:38:16,102
16:38:21,98
16:38:31,99
16:38:36,98
16:38:41,96
16:38:56,98
16:39:06,95
16:39:11,93
16:39:16,94
16:39:31,94
16:39:41,93
16:39:56,93
16:40:01,94
16:40:06,93
16:40:16,94
16:40:21,95
16:40:26,96
16:40:31,94
16:40:36,93
16:40:41,96
16:40:46,97
16:41:01,97
16:41:16,97
16:41:31,97
16:41:36,99
16:41:41,97
16:41:46,98
16:41:52,100
16:41:57,99
