Time,Heart Rate
15:28:02,116
15:28:07,115
15:28:17,116
15:28:22,117
15:28:27,116
15:28:32,114
15:28:37,115
15:28:47,116
15:28:57,117
15:29:02,118
15:29:07,119
15:29:12,118
15:29:17,114
15:29:22,110
15:29:27,107
15:29:32,106
15:29:37,107
15:29:47,108
15:29:52,104
15:29:57,100
15:30:07,100
15:30:12,101
15:30:17,103
15:30:22,105
15:30:27,106
15:30:32,107
15:30:37,108
15:30:42,120
15:30:47,128
15:30:57,127
15:31:12,127
15:31:27,127
15:31:32,129
15:31:37,130
15:31:47,129
15:31:52,126
15:31:57,121
15:32:03,117
15:32:08,112
15:32:13,110
15:32:18,109
15:32:23,108
15:32:28,110
15:32:43,110
15:32:48,111
15:32:53,109
15:32:58,111
15:33:03,112
15:33:08,110
15:33:13,108
15:33:18,109
15:33:33,108
15:33:38,107
15:33:53,107
15:34:08,107
15:34:23,106
15:34:38,105
15:34:43,103
15:34:58,103
15:35:03,102
15:35:18,101
15:35:33,101
15:35:38,102
15:35:48,104
15:35:53,105
15:35:58,104
15:36:08,105
15:36:13,108
15:36:18,109
15:36:23,108
15:36:28,110
15:36:33,112
15:36:38,111
15:36:48,118
15:36:53,124
15:36:58,125
15:37:03,124
15:37:13,122
15:37:18,124
15:37:23,121
15:37:28,116
15:37:33,111
15:37:38,109
15:37:48,108
15:37:53,107
15:37:58,106
15:38:03,105
15:38:18,105
15:38:23,106
15:38:28,105
15:38:38,104
15:38:44,102
15:38:49,101
15:38:59,102
15:39:14,102
15:39:29,101
15:39:34,99
15:39:39,101
15:39:44,102
15:39:49,103
15:39:59,105
15:40:04,102
15:40:09,99
15:40:24,100
15:40:29,97
15:40:39,100
15:40:44,101
15:40:49,102
15:41:04,103
15:41:14,107
15:41:19,106
15:41:24,102
15:41:29,101
15:41:44,101
15:41:59,103
15:42:14,103
15:42:29,103
15:42:39,105
15:42:44,106
15:42:54,107
15:43:09,106
15:43:14,105
15:43:19,104
15:43:34,104
15:43:39,104
15:43:44,100
15:43:49,96
15:43:54,95
15:44:09,95
15:44:24,97
15:44:34,95
15:44:39,93
15:44:44,94
15:44:49,96
15:44:54,97
15:44:59,96
15:45:04,95
15:45:09,92
15:45:14,91
15:45:19,90
15:45:24,88
15:45:29,87
15:45:34,85
15:45:39,83
15:45:45,83
15:45:50,84
15:45:55,85
15:46:00,85
