Time,Heart Rate
09:47:02,84
09:47:12,85
09:47:17,86
09:47:22,86
09:47:27,87
09:47:32,86
09:47:42,85
09:47:57,84
09:48:07,81
09:48:12,82
09:48:17,83
09:48:22,84
09:48:27,85
09:48:32,85
09:48:47,85
09:48:57,86
09:49:07,87
09:49:22,87
09:49:37,86
09:49:42,85
09:49:52,82
09:50:07,82
09:50:17,83
09:50:22,83
09:50:27,85
09:50:32,85
09:50:42,86
09:50:47,87
09:50:52,88
09:50:57,90
09:51:02,91
09:51:07,90
09:51:12,89
09:51:17,88
09:51:32,88
09:51:37,87
09:51:42,86
09:51:47,86
09:51:57,87
09:52:07,86
09:52:12,84
09:52:17,83
09:52:27,82
09:52:42,83
09:52:47,84
09:52:52,85
09:53:02,86
09:53:12,87
09:53:17,86
09:53:32,86
09:53:37,87
09:53:47,88
09:53:52,91
09:53:57,92
09:54:07,91
09:54:12,89
09:54:17,88
09:54:32,88
09:54:47,88
09:54:52,89
09:55:02,90
09:55:07,89
09:55:12,88
09:55:22,86
09:55:27,87
09:55:32,89
09:55:37,88
09:55:42,89
09:55:47,88
09:55:52,87
09:55:57,85
09:56:02,83
09:56:07,80
09:56:12,79
09:56:17,78
09:56:27,80
09:56:32,79
09:56:37,80
09:56:52,80
09:56:53,79
