Time,Heart Rate
14:21:00,109
14:21:05,104
14:21:10,103
14:21:15,108
14:21:25,103
14:21:30,102
14:21:35,102
14:21:40,100
14:21:45,99
14:21:50,100
14:22:00,99
14:22:05,101
14:22:10,104
14:22:15,106
14:22:20,107
14:22:30,106
14:22:40,108
14:22:45,112
14:23:00,113
14:23:05,111
14:23:15,110
14:23:25,109
14:23:30,105
14:23:45,105
14:23:55,107
14:24:03,107
14:24:08,106
14:24:13,104
14:24:18,103
14:24:23,101
14:24:28,99
14:24:33,93
14:24:38,91
14:24:53,90
14:25:03,89
14:25:08,87
14:25:18,88
14:25:23,92
14:25:28,94
14:25:38,97
14:25:43,98
14:25:48,99
14:25:53,100
14:25:58,99
14:26:13,99
14:26:23,97
14:26:33,96
14:26:38,95
14:26:48,94
14:26:58,97
14:27:03,102
14:27:08,103
14:27:13,103
14:27:18,105
14:27:23,107
14:27:28,110
14:27:38,109
14:27:53,114
14:27:58,117
14:28:08,116
14:28:18,122
14:28:33,122
14:28:38,123
14:28:43,124
14:28:48,126
14:28:53,127
14:28:58,128
14:29:08,127
14:29:13,124
14:29:18,121
14:29:23,118
14:29:28,116
14:29:38,114
14:29:43,113
14:29:48,115
14:29:58,117
14:30:03,119
14:30:08,121
14:30:13,123
14:30:18,124
14:30:23,127
14:30:28,128
14:30:33,129
14:30:38,130
14:30:48,131
14:31:03,131
14:31:08,129
14:31:13,127
14:31:18,125
14:31:23,127
14:31:28,131
14:31:33,129
14:31:38,127
14:31:43,125
14:31:48,121
14:31:53,119
14:31:58,115
14:32:03,111
14:32:08,114
14:32:13,116
14:32:23,115
14:32:28,114
14:32:33,113
14:32:38,112
14:32:43,111
14:32:49,111
14:32:59,113
14:33:14,117
14:33:19,116
14:33:24,115
14:33:39,115
14:33:44,115
14:33:49,114
14:33:54,115
14:33:59,109
14:34:04,108
14:34:09,110
14:34:14,118
14:34:19,117
14:34:24,116
14:34:29,114
14:34:34,111
14:34:39,111
14:34:44,112
14:34:49,111
14:34:59,118
14:35:04,121
14:35:09,118
14:35:14,117
14:35:24,115
14:35:29,113
14:35:34,109
14:35:39,108
14:35:54,108
14:36:09,107
14:36:24,107
14:36:34,109
14:36:39,108
14:36:44,104
14:36:54,108
14:36:59,110
14:37:14,108
14:37:19,106
14:37:24,109
14:37:29,113
14:37:34,114
14:37:39,113
14:37:44,112
14:37:49,109
14:37:54,102
14:37:59,94
14:38:04,91
14:38:19,91
14:38:29,90
14:38:44,86
14:38:59,90
