Time,Heart Rate
16:36:04,103
16:36:19,103
16:36:24,101
16:36:29,102
16:36:34,98
16:36:39,95
16:36:44,92
16:36:49,94
16:36:54,95
16:36:59,97
16:37:04,98
16:37:09,99
16:37:14,103
16:37:20,104
16:37:25,105
16:37:30,103
16:37:35,101
16:37:40,99
16:37:45,100
16:37:50,99
16:38:00,101
16:38:10,102
16:38:15,107
16:38:20,114
16:38:25,115
16:38:30,114
16:38:35,113
16:38:40,110
16:38:45,97
16:38:50,98
16:38:55,97
16:39:00,96
16:39:05,98
16:39:10,99
16:39:15,100
16:39:20,101
16:39:25,102
16:39:30,104
16:39:35,105
16:39:40,103
16:39:45,102
16:39:50,106
16:39:55,107
16:40:05,105
16:40:10,99
16:40:15,95
16:40:20,100
16:40:25,101
16:40:30,100
16:40:35,99
16:40:50,97
16:40:55,98
16:41:05,99
16:41:10,100
16:41:25,100
16:41:30,99
16:41:35,97
16:41:40,96
16:41:50,94
16:41:55,93
16:42:00,94
16:42:05,95
16:42:10,96
16:42:15,99
16:42:25,99
16:42:35,100
16:42:40,100
16:42:50,99
16:43:00,98
16:43:05,97
16:43:10,98
16:43:20,95
16:43:25,94
16:43:30,92
16:43:35,91
16:43:45,92
16:43:50,93
16:43:55,89
16:44:00,89
16:44:05,91
16:44:10,95
16:44:25,96
16:44:30,97
16:44:35,99
16:44:45,98
16:45:00,98
16:45:10,97
16:45:25,97
16:45:35,98
16:45:45,97
16:46:00,97
