Time,Heart Rate
14:56:24,70
14:56:34,76
14:56:39,82
14:56:44,86
14:56:49,81
14:56:54,83
14:56:59,85
14:57:04,86
14:57:09,87
14:57:19,86
14:57:29,85
14:57:34,84
14:57:44,82
14:57:49,78
14:57:59,79
14:58:04,78
14:58:09,77
14:58:14,76
14:58:29,76
14:58:34,78
14:58:39,79
14:58:44,78
14:58:49,79
14:58:54,80
14:59:09,80
14:59:14,81
14:59:24,82
14:59:29,83
14:59:34,84
14:59:44,82
14:59:49,81
14:59:54,80
15:00:09,80
15:00:19,77
15:00:24,74
15:00:29,75
15:00:34,74
15:00:39,81
15:00:49,71
15:00:54,68
15:00:59,67
15:01:04,71
15:01:09,75
15:01:14,79
15:01:19,82
15:01:24,76
15:01:29,70
15:01:44,70
15:01:49,70
15:01:54,67
15:01:59,65
15:02:04,64
15:02:11,63
15:02:16,63
15:02:21,63
15:02:31,64
15:02:36,68
15:02:41,75
15:02:46,83
15:02:51,75
15:02:56,68
15:03:11,68
15:03:26,67
15:03:41,68
15:03:46,69
15:03:56,70
15:04:01,73
15:04:06,74
15:04:11,73
15:04:21,74
15:04:31,73
15:04:41,72
15:04:46,71
15:04:56,70
15:05:01,69
15:05:16,69
15:05:31,70
15:05:46,71
15:05:51,72
15:06:01,73
15:06:16,73
15:06:31,73
15:06:46,73
15:06:51,72
15:07:06,72
15:07:21,71
15:07:26,70
15:07:41,70
15:07:46,70
15:07:51,72
15:07:56,76
15:08:11,76
15:08:16,73
15:08:26,72
15:08:36,71
15:08:41,70
15:08:46,69
15:08:51,69
15:08:56,70
15:09:01,71
15:09:06,72
15:09:21,72
15:09:22,72
15:09:32,73
15:09:47,73
15:10:02,72
15:10:12,75
15:10:17,76
15:10:32,78
15:10:47,78
15:10:57,79
15:11:07,78
15:11:12,80
15:11:17,81
15:11:27,82
15:11:37,83
15:11:42,82
15:11:57,84
15:12:07,82
15:12:12,80
15:12:17,79
15:12:22,80
15:12:37,80
15:12:42,77
15:12:47,75
15:12:57,76
15:13:02,77
15:13:17,77
15:13:32,77
15:13:33,78
15:13:38,77
15:13:43,75
15:13:48,72
15:13:53,69
15:13:58,66
15:14:03,66
15:14:18,66
15:14:33,66
15:14:48,66
15:14:53,68
15:15:08,68
15:15:18,69
15:15:23,73
15:15:28,77
15:15:33,76
15:15:38,76
15:15:43,74
15:15:53,75
15:16:03,73
15:16:08,69
15:16:13,68
15:16:18,69
15:16:28,70
15:16:33,71
15:16:38,72
15:16:44,72
15:16:59,72
15:17:09,71
15:17:14,70
15:17:19,68
15:17:29,69
15:17:34,67
15:17:44,68
15:17:49,69
15:17:54,68
15:17:59,69
15:18:04,70
15:18:09,71
15:18:24,71
15:18:29,70
15:18:34,69
15:18:49,69
15:18:59,70
15:19:14,71
15:19:24,72
15:19:34,71
15:19:49,72
15:19:54,73
15:19:59,72
15:20:04,71
15:20:09,69
15:20:14,70
15:20:20,70
15:20:30,71
15:20:45,72
15:20:50,73
15:21:05,73
15:21:15,72
15:21:20,70
15:21:25,68
15:21:40,68
15:21:55,70
15:22:05,66
15:22:10,63
15:22:15,63
15:22:20,62
15:22:25,62
15:22:30,63
15:22:35,65
15:22:45,64
15:22:50,64
15:22:55,65
15:23:00,64
15:23:05,63
15:23:10,64
15:23:25,64
15:23:30,65
15:23:35,68
15:23:40,73
15:23:45,75
15:23:55,76
15:24:00,80
15:24:05,81
15:24:10,80
15:24:25,80
15:24:30,81
15:24:40,82
15:24:50,84
15:24:55,88
15:25:00,91
15:25:05,93
15:25:20,93
15:25:25,95
15:25:30,76
15:25:35,69
15:25:40,70
15:25:45,71
15:25:55,72
15:26:00,71
15:26:05,76
15:26:10,89
15:26:16,98
15:26:31,98
15:26:36,99
15:26:46,78
15:26:51,73
15:26:56,74
15:27:11,74
15:27:16,77
15:27:21,80
15:27:26,77
15:27:31,75
15:27:46,75
15:27:56,76
15:28:01,77
